generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,,
OXAPROZIN,"### Summary of Hematological Toxicity Risks and Reactions for COXANTO (Oxaprozin)

1. **Hematologic Toxicity (Section 5.12)**
   - **Anemia**: COXANTO has been associated with anemia in patients. This may be due to occult or gross blood loss, fluid retention, or an incompletely described effect on erythropoiesis.
   - **Increased Risk of Bleeding**: COXANTO may increase the risk of bleeding events. This risk is heightened in patients with co-morbid conditions such as coagulation disorders or those taking anticoagulants, antiplatelet drugs, SSRIs, and SNRIs. Monitoring for signs of bleeding is recommended.

2. **Adverse Reactions (Section 6.1)**
   - **Clinical Trials Experience**: In clinical trials, COXANTO was associated with hematologic system reactions such as anemia and increased bleeding time.
   - **Other Reported Reactions**: Additional hematologic reactions reported in clinical trials or in patients taking other NSAIDs include aplastic anemia, ecchymoses, eosinophilia, hemolytic anemia, lymphadenopathy, melena, purpura, thrombocytopenia, and leukopenia.

3. **Postmarketing Experience (Section 6.2)**
   - **Reported Reactions**: Post-approval use of COXANTO has identified hematologic reactions such as agranulocytosis and pancytopenia.

4. **Drug Interactions (Section 7)**
   - **Drugs That Interfere with Hemostasis**: COXANTO, when used with anticoagulants (e.g., warfarin), antiplatelet drugs (e.g., aspirin), SSRIs, and SNRIs, has a synergistic effect on bleeding, increasing the risk of serious bleeding compared to the use of either drug alone. Monitoring for signs of bleeding is advised.

5. **Patient Counseling Information (Section 17)**
   - **Signs of Bleeding**: Patients should be informed about the increased risk of bleeding and advised to report symptoms such as epigastric pain, dyspepsia, melena, and hematemesis to their healthcare provider.

### Conclusion
COXANTO (oxaprozin) is associated with several hematological risks, including anemia, increased bleeding time, and various hematologic reactions such as aplastic anemia, hemolytic anemia, and thrombocytopenia. These risks are heightened when COXANTO is used in conjunction with other drugs that interfere with hemostasis. Monitoring for signs of bleeding and other hematologic reactions is recommended.",Most,Yes,1,1,,,
PIROXICAM,"### Summary of Hematological Toxicity Risks and Reactions for FELDENE (piroxicam)

#### Hematologic Toxicity (Section 5.12)
1. **Anemia**: 
   - **Association**: Anemia has occurred in NSAID-treated patients, including those treated with FELDENE.
   - **Cause**: This may be due to occult or gross blood loss, fluid retention, or an incompletely described effect on erythropoiesis.

2. **Increased Risk of Bleeding Events**:
   - **Association**: NSAIDs, including FELDENE, may increase the risk of bleeding events.
   - **Cause**: Co-morbid conditions such as coagulation disorders, concomitant use of warfarin, other anticoagulants, antiplatelet drugs (e.g., aspirin), SSRIs, and SNRIs may increase this risk.

3. **Monitoring**:
   - **Recommendation**: Monitor patients for signs of bleeding when using FELDENE, especially if they have co-morbid conditions or are using other medications that increase bleeding risk.

#### Adverse Reactions (Section 6.1 and 6.2)
1. **Clinical Trials Experience**:
   - **Association**: In patients taking FELDENE or other NSAIDs, the most frequently reported adverse experiences include anemia.
   - **Cause**: The specific cause of anemia in these patients is not detailed but is associated with NSAID use.

2. **Postmarketing Experience**:
   - **Association**: The following hematologic reactions have been identified during post-approval use of FELDENE:
     - Anemia
     - Increased bleeding time
     - Ecchymosis
     - Eosinophilia
     - Epistaxis
     - Leukopenia
     - Purpura
     - Petechial rash
     - Thrombocytopenia
     - Agranulocytosis
     - Hemolytic anemia
     - Aplastic anemia
     - Lymphadenopathy
     - Pancytopenia
   - **Cause**: These reactions are reported voluntarily and are associated with the use of FELDENE.

#### Drug Interactions (Section 7)
1. **Drugs That Interfere with Hemostasis**:
   - **Association**: Piroxicam and anticoagulants such as warfarin have a synergistic effect on bleeding.
   - **Cause**: The concomitant use of piroxicam and anticoagulants increases the risk of serious bleeding compared to the use of either drug alone.

2. **SSRIs and SNRIs**:
   - **Association**: Concomitant use of drugs that interfere with serotonin reuptake and an NSAID may potentiate the risk of bleeding more than an NSAID alone.
   - **Cause**: This interaction is associated with the use of FELDENE.

#### Patient Counseling Information (Section 17)
1. **Hematologic Toxicity**:
   - **Association**: Inform patients about the risk of hematologic toxicity, including anemia and increased bleeding.
   - **Cause**: These risks are associated with the use of FELDENE.

### Conclusion
FELDENE (piroxicam) is associated with several hematological risks, including anemia and increased bleeding events. These risks are exacerbated by co-morbid conditions and concomitant use of other medications that affect hemostasis. Monitoring and patient counseling are recommended to manage these risks effectively.",Most,Yes,1,1,,,
PITAVASTATIN,"The drug label for Pitavastatin tablets does not explicitly mention hematological toxicity risks or hematological reactions. However, it does discuss several other types of risks and adverse reactions associated with the drug. Here is a summary of the relevant sections:

1. **Warnings and Precautions (Section 5.1 Myopathy and Rhabdomyolysis)**:
   - Pitavastatin may cause myopathy and rhabdomyolysis, which are associated with elevated creatine kinase (CK) levels. This is a direct association with the drug.

2. **Warnings and Precautions (Section 5.2 Immune-Mediated Necrotizing Myopathy)**:
   - There have been rare reports of immune-mediated necrotizing myopathy (IMNM), an autoimmune myopathy, associated with statin use, including pitavastatin. This is a direct association with the drug.

3. **Warnings and Precautions (Section 5.3 Hepatic Dysfunction)**:
   - Increases in serum transaminases have been reported with pitavastatin. This is a direct association with the drug.

4. **Warnings and Precautions (Section 5.4 Increases in HbA1c and Fasting Serum Glucose Levels)**:
   - Increases in HbA1c and fasting serum glucose levels have been reported with statins, including pitavastatin. This is a direct association with the drug.

5. **Adverse Reactions (Section 6.1 Clinical Studies Experience)**:
   - The most frequent adverse reactions (rate ≥ 2%) were myalgia, constipation, diarrhea, back pain, and pain in extremity. These are direct associations with the drug.

6. **Adverse Reactions (Section 6.2 Postmarketing Experience)**:
   - The following adverse reactions have been identified during postapproval use of pitavastatin: abdominal discomfort, abdominal pain, dyspepsia, nausea, asthenia, fatigue, malaise, dizziness, hepatitis, jaundice, fatal and non-fatal hepatic failure, angioedema, immune-mediated necrotizing myopathy, increases in HbA1c, fasting serum glucose levels, muscle spasms, myopathy, rhabdomyolysis, hypoesthesia, peripheral neuropathy, cognitive impairment, insomnia, depression, erectile dysfunction, interstitial lung disease, and lichen planus. These are direct associations with the drug.

7. **Use in Specific Populations (Section 8.1 Pregnancy)**:
   - Pitavastatin may cause fetal harm when administered to pregnant patients based on the mechanism of action. This is a direct association with the drug.

8. **Use in Specific Populations (Section 8.2 Lactation)**:
   - Breastfeeding is not recommended during treatment with pitavastatin due to the potential for serious adverse reactions in a breastfed infant. This is a direct association with the drug.

9. **Use in Specific Populations (Section 8.5 Geriatric Use)**:
   - Advanced age (≥65 years) is a risk factor for pitavastatin-associated myopathy and rhabdomyolysis. This is a direct association with the drug.

10. **Use in Specific Populations (Section 8.6 Renal Impairment)**:
    - Renal impairment is a risk factor for myopathy and rhabdomyolysis. This is a direct association with the drug.

11. **Use in Specific Populations (Section 8.7 Hepatic Impairment)**:
    - Pitavastatin is contraindicated in patients with active liver failure or decompensated cirrhosis. This is a direct association with the drug.

12. **Overdosage (Section 10)**:
    - No specific treatment for pitavastatin overdose is known. This is a direct association with the drug.

13. **Patient Counseling Information (Section 17)**:
    - Advise patients that pitavastatin may cause myopathy and rhabdomyolysis, liver enzyme elevations, and possibly liver failure. This is a direct association with the drug.

In summary, the drug label for Pitavastatin tablets does not specifically mention hematological toxicity risks or hematological reactions. The primary concerns discussed are related to myopathy, rhabdomyolysis, hepatic dysfunction, and increases in HbA1c and fasting serum glucose levels.",No,No,2,3,,,"Again here, you have to dicide if autoimmune disease are considered heme toxicities or not."
POTASSIUM CITRATE,"The drug label for Urocit-K (Potassium Citrate) does not explicitly mention hematological toxicity risks or hematological reactions directly associated with the drug itself. However, there are a few points that indirectly touch upon hematological monitoring and potential concerns:

1. **Dosage and Administration (Section 2.1)**:
   - ""Monitor serum electrolytes (sodium, potassium, chloride and carbon dioxide), serum creatinine and complete blood counts every four months and more frequently in patients with cardiac disease, renal disease or acidosis.""
     - **Summary**: This sentence advises monitoring complete blood counts, but it does not state that Urocit-K itself causes hematological toxicity. It is a precautionary measure for patients with certain conditions.

2. **Dosage and Administration (Section 2.1)**:
   - ""Treatment should be discontinued if there is hyperkalemia, a significant rise in serum creatinine or a significant fall in blood hematocrit or hemoglobin.""
     - **Summary**: This sentence indicates that treatment should be stopped if there is a significant fall in blood hematocrit or hemoglobin. It does not explicitly state that Urocit-K causes these hematological changes but suggests discontinuation if such changes occur.

3. **Overdosage (Section 10)**:
   - ""It is important to recognize that hyperkalemia is usually asymptomatic and may be manifested only by an increased serum potassium concentration and characteristic electrocardiographic changes (peaking of T-wave, loss of P-wave, depression of S-T segment and prolongation of the QT interval). Late manifestations include muscle paralysis and cardiovascular collapse from cardiac arrest.""
     - **Summary**: This sentence discusses the symptoms of hyperkalemia, which can include cardiovascular collapse, but does not directly link Urocit-K to hematological toxicity.

In summary, the drug label does not directly associate Urocit-K with hematological toxicity or reactions. The references to hematological monitoring and potential changes in blood parameters are precautionary measures rather than direct associations with the drug itself.",No,No,1,1,,,
PRUSSIAN BLUE INSOLUBLE CAPSULES,"The drug label for Radiogardase (prussian blue insoluble) does not explicitly mention hematological toxicity risks or hematological reactions directly associated with the drug itself. However, it does provide information on monitoring and laboratory evaluations that could be related to hematological parameters. Here is a summary of the relevant sections:

1. **Section 2.4 Treatment of Radioactive Cesium Contamination**:
   - ""Obtain weekly laboratory evaluations (complete blood count, serum chemistry and electrolytes).""
   - **Summary**: This sentence advises weekly laboratory evaluations, including complete blood count, but does not state that Radiogardase itself causes hematological toxicity.

2. **Section 2.5 Treatment of Radioactive and Non-radioactive Thallium Contamination**:
   - ""Obtain weekly laboratory evaluations (complete blood count, serum chemistry and electrolytes).""
   - **Summary**: Similar to section 2.4, this sentence advises weekly laboratory evaluations, including complete blood count, but does not state that Radiogardase itself causes hematological toxicity.

3. **Section 5.3 Electrolyte Abnormalities**:
   - ""Radiogardase may bind to electrolytes found in the gastrointestinal tract. Hypokalemia, with serum potassium values of 2.5 – 2.9 (normal 3.5 – 5.0), was reported in 3 (7%) of 42 patients during treatment with Radiogardase. Monitor serum electrolytes during Radiogardase treatment, particularly when treating patients with pre-existing cardiac arrhythmias or electrolyte imbalances.""
   - **Summary**: This sentence mentions that Radiogardase may cause hypokalemia (low potassium levels), which is an electrolyte abnormality, but does not directly mention hematological toxicity.

4. **Section 14.1 Cesium-137 Contamination**:
   - ""Data on the whole body effective half-life of 137Cs, during and after Radiogardase treatment, was completed on 33 of these 46 patients.""
   - **Summary**: This sentence discusses the monitoring of cesium elimination but does not mention hematological toxicity.

In conclusion, the drug label does not provide specific information indicating that Radiogardase itself is associated with or causes hematological toxicity. The recommendations for complete blood count monitoring appear to be precautionary measures rather than indications of known hematological risks directly caused by the drug.",No,No,1,1,,,
RALOXIFENE,"### Summary of Hematological Toxicity Risks and Reactions for Raloxifene Hydrochloride Tablets

1. **Increased Risk of Venous Thromboembolism (VTE)**
   - **Sentence:** ""Increased risk of deep vein thrombosis and pulmonary embolism have been reported with raloxifene hydrochloride tablets.""
   - **Summary:** The drug itself is associated with an increased risk of deep vein thrombosis and pulmonary embolism.

2. **Contraindications for Venous Thromboembolism**
   - **Sentence:** ""Raloxifene hydrochloride tablets are contraindicated in women with active or past history of venous thromboembolism (VTE), including deep vein thrombosis, pulmonary embolism, and retinal vein thrombosis.""
   - **Summary:** The drug itself should not be used in women with a history of VTE, indicating it can exacerbate or cause these conditions.

3. **Warnings and Precautions for Venous Thromboembolism**
   - **Sentence:** ""In clinical trials, raloxifene hydrochloride-treated women had an increased risk of venous thromboembolism (deep vein thrombosis and pulmonary embolism).""
   - **Summary:** The drug itself was associated with an increased risk of VTE in clinical trials.

4. **Discontinuation Prior to Immobilization**
   - **Sentence:** ""Raloxifene hydrochloride tablets should be discontinued at least 72 hours prior to and during prolonged immobilization (e.g., post-surgical recovery, prolonged bed rest), and raloxifene hydrochloride tablets therapy should be resumed only after the patient is fully ambulatory.""
   - **Summary:** The drug itself should be discontinued before prolonged immobilization to prevent VTE, indicating it can cause or exacerbate this condition.

5. **Adverse Reactions in Clinical Trials**
   - **Sentence:** ""The most serious adverse reaction related to raloxifene hydrochloride tablets was VTE (deep venous thrombosis, pulmonary embolism, and retinal vein thrombosis).""
   - **Summary:** The drug itself caused serious adverse reactions, including VTE.

6. **Postmarketing Experience**
   - **Sentence:** ""Adverse reactions reported very rarely since market introduction include retinal vein occlusion, stroke, and death associated with venous thromboembolism (VTE).""
   - **Summary:** The drug itself has been associated with rare but serious adverse reactions, including VTE, in postmarketing reports.

7. **Clinical Studies on VTE Incidence**
   - **Sentence:** ""During an average of study-drug exposure of 2.6 years, VTE occurred in about 1 out of 100 patients treated with raloxifene hydrochloride tablets.""
   - **Summary:** The drug itself was associated with a VTE incidence rate of about 1% in clinical studies.

8. **Comparison with Placebo**
   - **Sentence:** ""Twenty-six raloxifene hydrochloride tablets-treated women had a VTE compared to 11 placebo-treated women, the hazard ratio was 2.4 (95% confidence interval, 1.2, 4.5).""
   - **Summary:** The drug itself was associated with a higher incidence of VTE compared to placebo.

9. **Risk During Initial Months of Treatment**
   - **Sentence:** ""The highest VTE risk was during the initial months of treatment.""
   - **Summary:** The drug itself posed the highest risk of VTE during the initial months of treatment.

10. **Patient Counseling Information**
    - **Sentence:** ""Raloxifene hydrochloride tablets should be discontinued at least 72 hours prior to and during prolonged immobilization (e.g., post-surgical recovery, prolonged bed rest), and patients should be advised to avoid prolonged restrictions of movement during travel because of the increased risk of venous thromboembolic events.""
    - **Summary:** The drug itself should be discontinued before prolonged immobilization to prevent VTE, indicating it can cause or exacerbate this condition.

### Conclusion
Raloxifene hydrochloride tablets are consistently associated with an increased risk of venous thromboembolism (VTE), including deep vein thrombosis, pulmonary embolism, and retinal vein thrombosis. This risk is particularly high during the initial months of treatment and in situations involving prolonged immobilization. The drug label advises discontinuation of the drug prior to and during periods of immobilization to mitigate this risk.",Most,Yes,1,1,,,
RALTEGRAVIR,"### Summary of Hematological Toxicity Risks and Hematological Reactions for ISENTRESS (raltegravir)

1. **Clinical Trials Experience (Treatment-Naïve Adults)**
   - **Absolute Neutrophil Count (STARTMRK and ONCEMRK Studies):**
     - **ISENTRESS 400 mg twice daily:**
       - Grade 2 (0.75 - 0.999 x 10³/µL): 3% of subjects.
       - Grade 3 (0.50 - 0.749 x 10³/µL): 3% of subjects.
       - Grade 4 (<0.50 x 10³/µL): 1% of subjects.
     - **ISENTRESS HD 1200 mg once daily:**
       - Grade 2: 2% of subjects.
       - Grade 3: 1% of subjects.
       - Grade 4: <1% of subjects.
     - **Efavirenz 600 mg at bedtime:**
       - Grade 2: 5% of subjects.
       - Grade 3: 1% of subjects.
       - Grade 4: 1% of subjects.
     - **ISENTRESS 400 mg twice daily (ONCEMRK):**
       - Grade 2: 1% of subjects.
       - Grade 3: 1% of subjects.
       - Grade 4: 0% of subjects.

2. **Clinical Trials Experience (Treatment-Experienced Adults)**
   - **Absolute Neutrophil Count (BENCHMRK 1 and BENCHMRK 2 Studies):**
     - **ISENTRESS 400 mg twice daily:**
       - Grade 2: 4% of subjects.
       - Grade 3: 3% of subjects.
       - Grade 4: 1% of subjects.
     - **Placebo:**
       - Grade 2: 5% of subjects.
       - Grade 3: 3% of subjects.
       - Grade 4: <1% of subjects.

3. **Less Common Adverse Reactions Observed in Treatment-Naïve and Treatment-Experienced Studies:**
   - **Hematological Disorders:**
     - **ISENTRESS:**
       - Thrombocytopenia (reported during postmarketing experience).

### Summary
- **Absolute Neutrophil Count:**
  - ISENTRESS 400 mg twice daily and ISENTRESS HD 1200 mg once daily were associated with Grade 2, 3, and 4 decreases in absolute neutrophil count in both treatment-naïve and treatment-experienced adults.
  - The incidence of these decreases was comparable to or lower than that observed with efavirenz and placebo in respective studies.

- **Thrombocytopenia:**
  - Thrombocytopenia was reported as a less common adverse reaction during postmarketing experience with ISENTRESS.

In summary, ISENTRESS (raltegravir) is associated with hematological toxicity risks, specifically decreases in absolute neutrophil count and thrombocytopenia, as observed in clinical trials and postmarketing reports.",Less,Yes,2,1,,Would score most,
RIFAMPIN,"### Summary of Hematological Toxicity Risks and Reactions for RIFADIN (Rifampin)

1. **Thrombotic Microangiopathy (TMA)**
   - **Sentence:** ""Cases of thrombotic microangiopathy (TMA), including thrombotic thrombocytopenic purpura and hemolytic uremia syndrome, some fatal, have been reported with rifampin.""
   - **Summary:** Rifampin has been associated with cases of TMA, including thrombotic thrombocytopenic purpura and hemolytic uremia syndrome, some of which were fatal.

2. **Thrombocytopenia**
   - **Sentence:** ""Thrombocytopenia has occurred primarily with high dose intermittent therapy but has also been noted after resumption of interrupted treatment.""
   - **Summary:** Rifampin has caused thrombocytopenia, especially with high dose intermittent therapy and after resumption of interrupted treatment.

3. **Disseminated Intravascular Coagulation (DIC)**
   - **Sentence:** ""Rare reports of disseminated intravascular coagulation have been observed.""
   - **Summary:** Rifampin has been associated with rare reports of disseminated intravascular coagulation.

4. **Leukopenia and Hemolytic Anemia**
   - **Sentence:** ""Leukopenia, hemolytic anemia, decreased hemoglobin, bleeding, and vitamin K–dependent coagulation disorders (abnormal prolongation of prothrombin time or low vitamin K–dependent coagulation factors) have been observed.""
   - **Summary:** Rifampin has been associated with leukopenia, hemolytic anemia, decreased hemoglobin, bleeding, and vitamin K–dependent coagulation disorders.

5. **Agranulocytosis**
   - **Sentence:** ""Agranulocytosis has been reported very rarely.""
   - **Summary:** Rifampin has very rarely been associated with agranulocytosis.

6. **Vitamin K–Dependent Coagulation Disorders**
   - **Sentence:** ""Rifampin may cause vitamin K–dependent coagulation disorders and bleeding.""
   - **Summary:** Rifampin may cause vitamin K–dependent coagulation disorders and bleeding.

7. **Monitoring Coagulation Tests**
   - **Sentence:** ""Monitor coagulation tests during rifampin treatment (prothrombin time and other coagulation tests) in patients at risk of vitamin K deficiency (such as those with chronic liver disease, poor nutritional status, on prolonged antibacterial drugs or anticoagulants).""
   - **Summary:** Coagulation tests should be monitored during rifampin treatment in patients at risk of vitamin K deficiency.

8. **Postmarketing Reports with Cefazolin**
   - **Sentence:** ""Postmarketing reports suggest that concomitant administration of high doses of cefazolin and rifampin may prolong the prothrombin time, leading to severe vitamin K–dependent coagulation disorders that may be life-threatening or fatal.""
   - **Summary:** Concomitant use of high doses of cefazolin and rifampin may prolong prothrombin time, leading to severe vitamin K–dependent coagulation disorders.

9. **Hematologic Adverse Reactions**
   - **Sentence:** ""Cases of thrombotic microangiopathy, including thrombotic thrombocytopenic purpura and hemolytic uremic syndrome, have been reported.""
   - **Summary:** Rifampin has been associated with cases of thrombotic microangiopathy, including thrombotic thrombocytopenic purpura and hemolytic uremic syndrome.

10. **Thrombocytopenia and Purpura**
    - **Sentence:** ""Thrombocytopenia has occurred primarily with high dose intermittent therapy but has also been noted after resumption of interrupted treatment.""
    - **Summary:** Rifampin has caused thrombocytopenia, especially with high dose intermittent therapy and after resumption of interrupted treatment.

11. **Cerebral Hemorrhage and Fatalities**
    - **Sentence:** ""Cerebral hemorrhage and fatalities have been reported when rifampin administration has been continued or resumed after the appearance of purpura.""
    - **Summary:** Rifampin has been associated with cerebral hemorrhage and fatalities when administration was continued or resumed after the appearance of purpura.

12. **Disseminated Intravascular Coagulation (DIC)**
    - **Sentence:** ""Rare reports of disseminated intravascular coagulation have been observed.""
    - **Summary:** Rifampin has been associated with rare reports of disseminated intravascular coagulation.

13. **Leukopenia, Hemolytic Anemia, and Coagulation Disorders**
    - **Sentence:** ""Leukopenia, hemolytic anemia, decreased hemoglobin, bleeding, and vitamin K–dependent coagulation disorders (abnormal prolongation of prothrombin time or low vitamin K–dependent coagulation factors) have been observed.""
    - **Summary:** Rifampin has been associated with leukopenia, hemolytic anemia, decreased hemoglobin, bleeding, and vitamin K–dependent coagulation disorders.

14. **Agranulocytosis**
    - **Sentence:** ""Agranulocytosis has been reported very rarely.""
    - **Summary:** Rifampin has very rarely been associated with agranulocytosis.

15. **Renal Hematologic Reactions**
    - **Sentence:** ""Rarely, hemolysis, hemoglobinuria, hematuria, interstitial nephritis, acute tubular necrosis, renal insufficiency, and acute renal failure have been noted.""
    - **Summary:** Rifampin has rarely been associated with hemolysis, hemoglobinuria, hematuria, interstitial nephritis, acute tubular necrosis, renal insufficiency, and acute renal failure.

16. **Hypersensitivity Reactions**
    - **Sentence:** ""Occasionally, pruritus, urticaria, rash, pemphigoid reaction, erythema multiforme, acute generalized exanthematous pustulosis, Stevens-Johnson syndrome, toxic epidermal necrolysis, drug reaction with eosinophilia and systemic symptoms syndrome (see WARNINGS), vasculitis, eosinophilia, sore mouth, sore tongue, and conjunctivitis have been observed.""
    - **Summary:** Rifampin has occasionally been associated with various hypersensitivity reactions, including eosinophilia and vasculitis.

17. **Anaphylaxis**
    - **Sentence:** ""Anaphylaxis has been reported rarely.""
    - **Summary:** Rifampin has rarely been associated with anaphylaxis.

18. **Paradoxical Drug Reaction**
    - **Sentence:** ""Paradoxical drug reaction has been reported with RIFADIN (see WARNINGS).""
    - **Summary:** Rifampin has been associated with paradoxical drug reactions.

19. **Edema and Flu Syndrome**
    - **Sentence:** ""Other reactions which have occurred with intermittent dosage regimens include 'flu syndrome' (such as episodes of fever, chills, headache, dizziness, and bone pain), shortness of breath, wheezing, decrease in blood pressure and shock.""
    - **Summary:** Rifampin has been associated with ""flu syndrome"" and other reactions with intermittent dosage regimens.

20. **Overdosage Symptoms**
    - **Sentence:** ""Nausea, vomiting, abdominal pain, pruritus, headache, and increasing lethargy will probably occur within a short time after ingestion; unconsciousness may occur when there is severe hepatic disease.""
    - **Summary:** Overdosage of rifampin can cause nausea, vomiting, abdominal pain, pruritus, headache, increasing lethargy, and potentially unconsciousness in severe hepatic disease.

21. **Hematopoietic System Effects**
    - **Sentence:** ""A direct effect upon the hematopoietic system, electrolyte levels, or acid-base balance is unlikely.""
    - **Summary:** A direct effect of rifampin on the hematopoietic system, electrolyte levels, or acid-base balance is unlikely.

22. **Facial or Periorbital Edema**
    - **Sentence:** ""Facial or periorbital edema has also been reported in pediatric patients.""
    - **Summary:** Rifampin has been associated with facial or periorbital edema in pediatric patients.

23. **Hypotension and Cardiac Effects**
    - **Sentence:** ""Hypotension, sinus tachycardia, ventricular arrhythmias, seizures, and cardiac arrest were reported in some fatal cases.""
    - **Summary:** Rifampin has been associated with hypotension, sinus tachycardia, ventricular arrhythmias, seizures, and cardiac arrest in some fatal cases.",Most,Yes,1,1,,,
SOLRIAMFETOL,"The provided drug label for SUNOSI (solriamfetol) does not explicitly mention hematological toxicity risks or hematological reactions. The label primarily focuses on other types of adverse reactions, such as cardiovascular, psychiatric, and general side effects, as well as the drug's pharmacology, usage, and administration guidelines.

To summarize:

1. **Blood Pressure and Heart Rate Increases**: The label discusses cardiovascular risks, including increases in blood pressure and heart rate, but does not mention hematological toxicity.
2. **Psychiatric Symptoms**: The label mentions psychiatric adverse reactions such as anxiety, insomnia, and irritability, but does not include hematological reactions.
3. **Adverse Reactions**: The most common adverse reactions listed are headache, nausea, decreased appetite, insomnia, and anxiety. There is no mention of hematological toxicity or reactions.
4. **Drug Interactions**: The label advises caution with drugs that increase blood pressure and heart rate and dopaminergic drugs but does not mention interactions leading to hematological toxicity.
5. **Use in Specific Populations**: The label provides guidance for use in populations such as pregnant women, lactating women, pediatric, geriatric, and patients with renal impairment, but does not discuss hematological risks.
6. **Drug Abuse and Dependence**: The label notes the potential for abuse and dependence but does not mention hematological toxicity.
7. **Overdosage**: The label provides information on managing overdoses but does not mention hematological toxicity.
8. **Clinical Pharmacology**: The label describes the drug's mechanism of action, pharmacodynamics, and pharmacokinetics without mentioning hematological toxicity.
9. **Nonclinical Toxicology**: The label discusses carcinogenesis, mutagenesis, and impairment of fertility but does not mention hematological toxicity.
10. **Clinical Studies**: The label summarizes clinical studies on the efficacy of SUNOSI but does not mention hematological toxicity.

In conclusion, the drug label for SUNOSI does not associate the drug with hematological toxicity risks or reactions.",No,No,1,1,,,
SONIDEGIB,"The drug label for ODOMZO (sonidegib) includes the following information related to hematological toxicity risks and hematological reactions:

1. **Adverse Reactions (Section 6.1 Clinical Trials Experience)**:
   - **Anemia**: The label states that anemia occurred in 32% of patients treated with ODOMZO 200 mg in the BOLT clinical trial. This indicates that the drug itself was associated with causing anemia.
   - **Lymphopenia**: The label mentions that lymphopenia occurred in 28% of patients treated with ODOMZO 200 mg in the BOLT clinical trial, with 3% experiencing Grade 3-4 lymphopenia. This indicates that the drug itself was associated with causing lymphopenia.

2. **Key Laboratory Abnormalities (Table 2 in Section 6.1)**:
   - The table lists anemia and lymphopenia as key laboratory abnormalities observed in patients treated with ODOMZO 200 mg. This further supports that the drug itself was associated with these hematological reactions.

In summary, the drug label indicates that ODOMZO (sonidegib) is associated with causing anemia and lymphopenia in patients, as observed in clinical trials.",Most,Yes,1,1,,,
TECHNETIUM TC-99M SESTAMIBI,"The drug label for the Kit for the Preparation of Technetium Tc 99m Sestamibi for Injection does not explicitly mention hematological toxicity risks or hematological reactions. The label primarily focuses on the drug's indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, and other relevant information. 

Here is a summary of the relevant sections that might indirectly relate to hematological concerns:

1. **Warnings and Precautions (Section 5.1)**:
   - The label mentions that pharmacologic induction of cardiovascular stress may be associated with serious adverse events such as myocardial infarction, arrhythmia, hypotension, bronchoconstriction, and cerebrovascular events. However, it does not specifically mention hematological toxicity or reactions.

2. **Adverse Reactions (Section 6)**:
   - The label lists various adverse reactions reported in ≤ 0.5% of patients, including signs and symptoms consistent with seizure, transient arthritis, angioedema, arrhythmia, dizziness, syncope, abdominal pain, vomiting, and severe hypersensitivity characterized by dyspnea, hypotension, bradycardia, asthenia, and vomiting within two hours after a second injection. None of these reactions are explicitly hematological in nature.
   - A few cases of flushing, edema, injection site inflammation, dry mouth, fever, pruritis, rash, urticaria, and fatigue have also been attributed to the administration of the agent. Again, these are not specifically hematological reactions.

3. **Use in Specific Populations (Section 8.4)**:
   - The label mentions that in a clinical pharmacology study involving pediatric patients with Kawasaki disease, the radioactivity in both children and adolescents exhibited blood PK profiles similar to those previously reported in adults. However, this does not indicate hematological toxicity or reactions caused by the drug.

4. **Nonclinical Toxicology (Section 13.1)**:
   - The label discusses the genotoxic potential of the active intermediate, Cu(MIBI)4BF4, in a battery of five tests. No genotoxic activity was observed in the Ames, CHO/HPRT, and sister chromatid exchange tests (all in vitro). At cytotoxic concentrations, an increase in cells with chromosome aberrations was observed in the in vitro human lymphocyte assay. Cu(MIBI)4BF4 did not show genotoxic effects in the in vivo mouse micronucleus test at a dose which caused systemic and bone marrow toxicity. This section indirectly relates to hematological concerns but does not indicate that the drug itself causes hematological toxicity in clinical use.

In summary, the drug label does not provide specific information indicating that Technetium Tc 99m Sestamibi is associated with or causes hematological toxicity or reactions. The focus is primarily on other types of adverse events and precautions.",No,No,1,1,,,
