generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,
BEVACIZUMAB,"Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for Avastin (bevacizumab):
 

 1. **Serious or fatal pulmonary hemorrhage occurred in 31% of patients with squamous NSCLC and 4% of patients with non-squamous NSCLC receiving Avastin with chemotherapy compared to none of the patients receiving chemotherapy alone.**
  - **Summary:** Avastin was associated with serious or fatal pulmonary hemorrhage in patients with squamous and non-squamous NSCLC.
 

 2. **Do not administer Avastin to patients with recent history of hemoptysis of 1/2 teaspoon or more of red blood.**
  - **Summary:** Avastin is contraindicated in patients with a recent history of significant hemoptysis, indicating a risk of pulmonary hemorrhage associated with the drug.
 

 3. **Pulmonary embolism (5 vs. 1).**
  - **Summary:** Avastin was associated with a higher incidence of pulmonary embolism compared to the control group.
 

 4. **Serious or fatal pulmonary hemorrhage occurred in 31% of patients with squamous NSCLC and 4% of patients with non-squamous NSCLC receiving Avastin with chemotherapy compared to none of the patients receiving chemotherapy alone.**
  - **Summary:** Avastin was associated with a significant risk of serious or fatal pulmonary hemorrhage in patients with squamous and non-squamous NSCLC.
 

 5. **Fatal adverse reactions occurred in 4.6% of patients in the Avastin and atezolizumab arm. The most common adverse reactions leading to death were gastrointestinal and esophageal varices hemorrhage (1.2%) and infections (1.2%).**
  - **Summary:** While this sentence does not directly attribute pulmonary toxicity to Avastin, it mentions fatal adverse reactions, including hemorrhages, which could imply a risk of pulmonary hemorrhage.
 

 6. **Adverse reactions leading to discontinuation of Avastin occurred in 15% of patients in the Avastin and atezolizumab arm. The most common adverse reactions leading to Avastin discontinuation were hemorrhages (4.9%), including bleeding varicose vein, hemorrhage and gastrointestinal, subarachnoid, and pulmonary hemorrhages; and increased transaminases or bilirubin (0.9%).**
  - **Summary:** Avastin was associated with pulmonary hemorrhages leading to discontinuation of the drug.
 

 7. **Adverse reactions leading to interruption of Avastin occurred in 46% of patients in the Avastin and atezolizumab arm; the most common (≥ 2%) were proteinuria (6%); infections (6%); hypertension (6%); liver function laboratory abnormalities including increased transaminases, bilirubin, or alkaline phosphatase (4.6%); gastrointestinal hemorrhages (3%); thrombocytopenia/decreased platelet count (4.3%); and pyrexia (2.4%).**
  - **Summary:** This sentence does not directly attribute pulmonary toxicity to Avastin but mentions adverse reactions leading to interruption, including hemorrhages, which could imply a risk of pulmonary hemorrhage.
 

 8. **The following adverse reactions were reported at a 5-fold greater incidence in patients receiving Avastin with interferon-alfa compared to patients receiving placebo with interferon-alfa and not represented in Table 3: gingival bleeding (13 patients vs. 1 patient); rhinitis (9 vs. 0); blurred vision (8 vs. 0); gingivitis (8 vs. 1); gastroesophageal reflux disease (8 vs. 1); tinnitus (7 vs. 1); tooth abscess (7 vs. 0); mouth ulceration (6 vs. 0); acne (5 vs. 0); deafness (5 vs. 0); gastritis (5 vs. 0); gingival pain (5 vs. 0) and pulmonary embolism (5 vs. 1).**
  - **Summary:** Avastin was associated with a higher incidence of pulmonary embolism compared to the control group.
 

 9. **In an exploratory pooled analysis of 1745 patients from five randomized, controlled studies, 35% of patients were ≥ 65 years old. The overall incidence of ATE was increased in all patients receiving Avastin with chemotherapy as compared to those receiving chemotherapy alone, regardless of age; however, the increase in the incidence of ATE was greater in patients ≥ 65 years (8% vs. 3%) as compared to patients < 65 years (2% vs. 1%).**
  - **Summary:** This sentence does not directly attribute pulmonary toxicity to Avastin but mentions an increased incidence of arterial thromboembolic events (ATE), which could include pulmonary embolism.
 

 10. **In previously untreated patients with a hematological malignancy, the incidence of CHF and decline in left ventricular ejection fraction (LVEF) were increased in patients receiving Avastin with anthracycline-based chemotherapy compared to patients receiving placebo with the same chemotherapy regimen.**
  - **Summary:** This sentence does not directly attribute pulmonary toxicity to Avastin but mentions an increased incidence of congestive heart failure (CHF), which could have pulmonary implications.
 

 In summary, Avastin is associated with significant pulmonary risks, including pulmonary hemorrhage and pulmonary embolism, which have led to discontinuation or interruption of the drug in some patients.",Most,Yes,1,1,
VOSORITIDE,"The provided drug label for VOXZOGO (vosoritide) does not mention any pulmonary toxicity risks or pulmonary reactions. The label primarily discusses the drug's indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, and other relevant information, but there is no specific mention of pulmonary toxicity or pulmonary reactions associated with the use of VOXZOGO.",No,No,1,1,
BEPOTASTINE BESILATE OPHTHALMIC SOLUTION 1.5%,"The provided drug label for Bepotastine Besilate Ophthalmic Solution 1.5% does not contain any sentences that discuss pulmonary toxicity risks or pulmonary reactions. Therefore, there is no information in the label indicating that the drug itself is associated with or causes pulmonary risks.",No,No,1,1,
PALONOSETRON,"The provided drug label for Palonosetron Hydrochloride Injection does not mention any specific pulmonary toxicity risks or pulmonary reactions associated with the drug. The label primarily focuses on the drug's indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, and pharmacological details. 
 

 Here is a summary of the key points from the label, none of which specifically address pulmonary toxicity or reactions:
 

 1. **Indications and Usage**: The drug is indicated for the prevention of nausea and vomiting associated with chemotherapy and postoperative periods.
 2. **Dosage and Administration**: Detailed instructions on the recommended dosages for adults and pediatric patients.
 3. **Contraindications**: The drug is contraindicated in patients with known hypersensitivity to palonosetron.
 4. **Warnings and Precautions**: Includes warnings about hypersensitivity reactions and serotonin syndrome but does not mention pulmonary toxicity.
 5. **Adverse Reactions**: Lists common adverse reactions such as headache and constipation, and less common reactions, but does not include pulmonary reactions.
 6. **Drug Interactions**: Discusses interactions with serotonergic drugs but does not mention any pulmonary risks.
 7. **Use in Specific Populations**: Provides information on use during pregnancy, lactation, pediatric use, and geriatric use, without mentioning pulmonary risks.
 8. **Overdosage**: Describes the management of overdose but does not mention pulmonary toxicity.
 9. **Clinical Pharmacology**: Explains the mechanism of action, pharmacodynamics, and pharmacokinetics of the drug, with no mention of pulmonary toxicity.
 10. **Nonclinical Toxicology**: Discusses carcinogenesis, mutagenesis, and impairment of fertility, but not pulmonary toxicity.
 11. **Clinical Studies**: Summarizes the efficacy of the drug in preventing nausea and vomiting, with no mention of pulmonary reactions.
 12. **How Supplied/Storage and Handling**: Provides information on the drug's packaging and storage conditions.
 

 In conclusion, the drug label for Palonosetron Hydrochloride Injection does not discuss any pulmonary toxicity risks or pulmonary reactions associated with the drug.",No,No,1,1,
VIBEGRON,"The provided drug label for GEMTESA (vibegron) does not mention any pulmonary toxicity risks or pulmonary reactions. The label primarily discusses the drug's indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, drug interactions, use in specific populations, and other relevant information. There is no specific mention of pulmonary toxicity or pulmonary reactions associated with GEMTESA in the provided text.",No,No,1,1,
PHENTERMINE HCL C-IV; PHENTERMINE HYDROCHLORIDE,"Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for phentermine hydrochloride:
 

 1. **Primary Pulmonary Hypertension (PPH) - a rare, frequently fatal disease of the lungs - has been reported to occur in patients receiving a combination of phentermine with fenfluramine or dexfenfluramine.**
  - **Summary:** PPH has been reported in patients taking phentermine in combination with fenfluramine or dexfenfluramine. The drug itself was associated with the pulmonary risk when used in combination with these other drugs.
 

 2. **The possibility of an association between PPH and the use of phentermine alone cannot be ruled out; there have been rare cases of PPH in patients who reportedly have taken phentermine alone.**
  - **Summary:** There have been rare cases of PPH in patients taking phentermine alone, indicating a potential association between the drug itself and the pulmonary risk.
 

 3. **Patients should be advised to report immediately any deterioration in exercise tolerance.**
  - **Summary:** Patients are advised to report any deterioration in exercise tolerance, which is a precautionary measure related to potential pulmonary reactions. This does not directly state that the drug itself causes the pulmonary risk but implies monitoring for symptoms.
 

 4. **Treatment should be discontinued in patients who develop new, unexplained symptoms of dyspnea, angina pectoris, syncope or lower extremity edema, and patients should be evaluated for the possible presence of pulmonary hypertension.**
  - **Summary:** If patients develop new, unexplained symptoms such as dyspnea, they should discontinue the drug and be evaluated for pulmonary hypertension. This suggests that the drug itself may be associated with these pulmonary risks.
 

 5. **Primary pulmonary hypertension [see Warnings and Precautions (5.2)]**
  - **Summary:** This is a reference to the section discussing primary pulmonary hypertension, indicating that the drug label includes information about the potential pulmonary risk associated with the drug itself.
 

 In summary, the drug label indicates that phentermine, especially when used in combination with fenfluramine or dexfenfluramine, is associated with the risk of primary pulmonary hypertension. There are also rare cases of PPH reported with the use of phentermine alone, suggesting a potential association between the drug itself and pulmonary risks. Patients are advised to monitor for symptoms and discontinue use if unexplained pulmonary symptoms develop.",Most,Yes,1,1,
METHYLPHENIDATE HCL,"The provided drug label for Methylphenidate HCl Oral Solution does not contain any sentences that specifically discuss pulmonary toxicity risks or pulmonary reactions. The label primarily focuses on cardiovascular, psychiatric, and other systemic effects, but it does not mention any pulmonary-related risks or reactions associated with the drug. Therefore, there are no sentences to summarize regarding pulmonary toxicity or reactions for this medication.",No,No,1,1,
SUCRALFATE ORAL,"The drug label for Sucralfate Oral Suspension mentions pulmonary toxicity risks and pulmonary reactions in the following sentences:
 

 1. **""Fatal complications, including pulmonary and cerebral emboli have occurred with inappropriate intravenous administration of sucralfate oral suspension.""**
  - **Summary:** Pulmonary emboli have occurred due to inappropriate intravenous administration of the drug, not from the drug itself when used correctly.
 

 2. **""Post-marketing cases of hypersensitivity have been reported with the use of Sucralfate Oral Suspension, including anaphylactic reactions, dyspnea, lip swelling, edema of the mouth, pharyngeal edema, pruritus, rash, swelling of the face and urticaria.""**
  - **Summary:** Dyspnea (difficulty breathing) has been reported as a hypersensitivity reaction associated with the drug.
 

 3. **""Cases of bronchospasm, laryngeal edema and respiratory tract edema have been reported with an unknown oral formulation of sucralfate.""**
  - **Summary:** Bronchospasm, laryngeal edema, and respiratory tract edema have been reported, but it is unclear if these reactions are associated with this specific formulation of the drug.
 

 In summary, pulmonary emboli are linked to incorrect intravenous use of the drug, dyspnea is associated with hypersensitivity reactions to the drug, and bronchospasm, laryngeal edema, and respiratory tract edema have been reported but are not definitively linked to this specific formulation of sucralfate.",Less,No,1,1,
VARENICLINE; VARENICLINE TARTRATE,"The drug label for Varenicline Tablets does not explicitly mention pulmonary toxicity risks or pulmonary reactions directly associated with the drug itself. However, it does discuss the use of the drug in patients with chronic obstructive pulmonary disease (COPD). Here is a summary of the relevant information:
 

 1. **Subjects with Chronic Obstructive Pulmonary Disease (COPD)**
  - **Summary**: Varenicline tablets were evaluated in a randomized, double-blind, placebo-controlled study of subjects aged ≥ 35 years with mild-to-moderate COPD.
  - **Association with Pulmonary Risk**: The study was conducted on patients with pre-existing pulmonary conditions (COPD), but the label does not state that Varenicline itself caused or was associated with pulmonary toxicity or reactions.
 

 2. **Efficacy in COPD Patients**
  - **Summary**: Subjects treated with Varenicline tablets had a superior rate of CO-confirmed abstinence during weeks 9 through 12 (41%) compared to subjects treated with placebo (9%) and from week 9 through 52 (19%) compared to subjects treated with placebo (6%).
  - **Association with Pulmonary Risk**: This information highlights the efficacy of Varenicline in helping COPD patients quit smoking, but it does not indicate that the drug caused pulmonary toxicity or reactions.
 

 3. **Table 10: Continuous Abstinence (95% confidence interval), Studies in Patients with Chronic Obstructive Pulmonary Disease (COPD)**
  - **Summary**: The table provides data on the continuous abstinence rates for patients with COPD treated with Varenicline tablets versus placebo.
  - **Association with Pulmonary Risk**: The table presents efficacy data but does not discuss pulmonary toxicity or reactions caused by Varenicline.
 

 In conclusion, the drug label does not provide any sentences that directly associate Varenicline with causing pulmonary toxicity or reactions. The information provided is focused on the efficacy of the drug in helping patients with COPD quit smoking.",No,No,1,1,
NORTRIPTYLINE HCI,"The provided drug label for Nortriptyline Hydrochloride does not explicitly mention pulmonary toxicity risks or pulmonary reactions associated with the drug. The label extensively covers various other risks, side effects, and contraindications, but there is no specific mention of pulmonary toxicity or reactions directly linked to the use of Nortriptyline Hydrochloride.",No,No,1,1,
HYDROXYPROPYL CELLULOSE,"The drug label for LACRISERT (hydroxypropyl cellulose ophthalmic insert) does not mention any pulmonary toxicity risks or pulmonary reactions. Therefore, there are no sentences in the label that discuss pulmonary toxicity risks or pulmonary reactions associated with this drug.",No,No,1,1,
ETANERCEPT,"The drug label for Enbrel (etanercept) includes the following sentences that discuss pulmonary toxicity risks and pulmonary reactions:
 

 1. **""In clinical trials in rheumatologic indications, serious infections experienced by patients have included, but are not limited to, pneumonia, cellulitis, septic arthritis, bronchitis, gastroenteritis, pyelonephritis, sepsis, abscess and osteomyelitis.""**
  - **Summary:** Enbrel was associated with serious infections, including pneumonia and bronchitis.
 

 2. **""In clinical trials in adult PsO patients, serious infections experienced by patients have included, but are not limited to, pneumonia, cellulitis, gastroenteritis, abscess and osteomyelitis.""**
  - **Summary:** Enbrel was associated with serious infections, including pneumonia.
 

 3. **""Opportunistic infections due to bacterial, mycobacterial, invasive fungal, viral, parasitic, or other opportunistic pathogens including aspergillosis, blastomycosis, candidiasis, coccidioidomycosis, histoplasmosis, legionellosis, listeriosis, pneumocystosis, and tuberculosis have been reported with TNF-blockers.""**
  - **Summary:** Enbrel, as a TNF-blocker, was associated with opportunistic infections, including pneumocystosis and tuberculosis.
 

 4. **""In 66 global clinical trials of 17,505 patients (21,015 patient-years of therapy), tuberculosis was observed in approximately 0.02% of patients.""**
  - **Summary:** Enbrel was associated with a low incidence of tuberculosis.
 

 5. **""In 17,696 patients (27,169 patient-years of therapy) from 38 clinical trials and 4 cohort studies in the U.S. and Canada, tuberculosis was observed in approximately 0.006% of patients.""**
  - **Summary:** Enbrel was associated with a very low incidence of tuberculosis.
 

 6. **""Tuberculosis should be strongly considered in patients who develop a new infection during Enbrel treatment, especially in patients who have previously or recently traveled to countries with a high prevalence of tuberculosis, or who have had close contact with a person with active tuberculosis.""**
  - **Summary:** Enbrel treatment is associated with a risk of tuberculosis, particularly in patients with relevant travel or contact history.
 

 7. **""Interstitial lung disease""**
  - **Summary:** Enbrel was associated with interstitial lung disease as a reported adverse reaction.
 

 In summary, Enbrel (etanercept) is associated with several pulmonary risks, including serious infections like pneumonia and bronchitis, opportunistic infections such as pneumocystosis and tuberculosis, and interstitial lung disease. These associations are based on clinical trial data and postmarketing reports.",Most,Yes,1,1,
NATEGLINIDE,The provided drug label for Nateglinide does not mention any pulmonary toxicity risks or pulmonary reactions. There are no sentences in the label that discuss pulmonary toxicity or pulmonary reactions associated with the drug.,No,No,1,1,
OXYCODONE HYDROCHLORIDE,"Here is a summary of all the sentences from the drug label that discuss pulmonary toxicity risks and pulmonary reactions for OXYCONTIN, along with a clear statement on whether the drug itself was associated with or caused the pulmonary risk:
 

 1. **Life-Threatening Respiratory Depression**:
  - **Sentence**: ""Serious, life-threatening, or fatal respiratory depression has been reported with the use of opioids, even when used as recommended.""
  - **Association**: The drug itself (OXYCONTIN) is associated with causing life-threatening respiratory depression.
 

 2. **Life-Threatening Respiratory Depression in Patients with Chronic Pulmonary Disease or in Elderly, Cachectic, or Debilitated Patients**:
  - **Sentence**: ""OXYCONTIN-treated patients with significant chronic obstructive pulmonary disease or cor pulmonale, and those with a substantially decreased respiratory reserve, hypoxia, hypercapnia, or pre-existing respiratory depression are at increased risk of decreased respiratory drive including apnea, even at recommended dosages of OXYCONTIN.""
  - **Association**: The drug itself (OXYCONTIN) is associated with causing decreased respiratory drive, including apnea, in patients with chronic pulmonary disease or other respiratory conditions.
 

 3. **Accidental Ingestion**:
  - **Sentence**: ""Accidental ingestion of even one dose of OXYCONTIN, especially by children, can result in respiratory depression and death due to an overdose of oxycodone.""
  - **Association**: The drug itself (OXYCONTIN) is associated with causing respiratory depression and death if accidentally ingested.
 

 4. **Patient Access to Naloxone for the Emergency Treatment of Opioid Overdose**:
  - **Sentence**: ""Discuss the availability of naloxone for the emergency treatment of opioid overdose with the patient and caregiver and assess the potential need for access to naloxone, both when initiating and renewing treatment with OXYCONTIN.""
  - **Association**: The drug itself (OXYCONTIN) is associated with the risk of opioid overdose, which can lead to respiratory depression.
 

 5. **Opioid-Induced Hyperalgesia and Allodynia**:
  - **Sentence**: ""Opioid-Induced Hyperalgesia (OIH) occurs when an opioid analgesic paradoxically causes an increase in pain, or an increase in sensitivity to pain.""
  - **Association**: This sentence does not directly discuss pulmonary risks but mentions a paradoxical reaction to opioids.
 

 6. **Adverse Reactions**:
  - **Sentence**: ""The most common adverse reactions (>5%) reported by patients in clinical trials comparing OXYCONTIN with placebo are shown in Table 2 below: Constipation (23%), Nausea (23%), Somnolence (23%), Dizziness (13%), Pruritus (13%), Vomiting (12%), Headache (7%), Dry Mouth (6%), Asthenia (6%), Sweating (5%).""
  - **Association**: This sentence lists common adverse reactions but does not directly discuss pulmonary risks.
 

 7. **Clinical Presentation of Overdose**:
  - **Sentence**: ""Acute overdose with oxycodone can be manifested by respiratory depression, somnolence progressing to stupor or coma, skeletal muscle flaccidity, cold and clammy skin, constricted pupils, and in some cases, pulmonary edema, bradycardia, hypotension, hypoglycemia, partial or complete airway obstruction, atypical snoring, and death.""
  - **Association**: The drug itself (OXYCONTIN) is associated with causing respiratory depression and pulmonary edema in cases of overdose.
 

 8. **Treatment of Overdose**:
  - **Sentence**: ""Opioid antagonists, such as naloxone, are specific antidotes to respiratory depression resulting from opioid overdose.""
  - **Association**: The drug itself (OXYCONTIN) is associated with causing respiratory depression in overdose situations.
 

 9. **Effects on the Central Nervous System**:
  - **Sentence**: ""Oxycodone produces respiratory depression by direct action on brain stem respiratory centers.""
  - **Association**: The drug itself (OXYCONTIN) is associated with causing respiratory depression through its action on the brain stem.
 

 10. **Effects on the Cardiovascular System**:
  - **Sentence**: ""Oxycodone produces peripheral vasodilation which may result in orthostatic hypotension or syncope.""
  - **Association**: This sentence discusses cardiovascular effects but does not directly discuss pulmonary risks.
 

 11. **Effects on the Endocrine System**:
  - **Sentence**: ""Opioids inhibit the secretion of adrenocorticotropic hormone (ACTH), cortisol, and luteinizing hormone (LH) in humans.""
  - **Association**: This sentence discusses endocrine effects but does not directly discuss pulmonary risks.
 

 12. **Effects on the Immune System**:
  - **Sentence**: ""Opioids have been shown to have a variety of effects on components of the immune system in in vitro and animal models.""
  - **Association**: This sentence discusses immune system effects but does not directly discuss pulmonary risks.
 

 13. **Concentration –Efficacy Relationships**:
  - **Sentence**: ""Studies in normal volunteers and patients reveal predictable relationships between oxycodone dosage and plasma oxycodone concentrations, as well as between concentration and certain expected opioid effects, such as pupillary constriction, sedation, overall subjective 'drug effect', analgesia and feelings of relaxation.""
  - **Association**: This sentence discusses the relationship between dosage and effects but does not directly discuss pulmonary risks.
 

 14. **Concentration –Adverse Reaction Relationships**:
  - **Sentence**: ""There is a relationship between increasing oxycodone plasma concentration and increasing frequency of dose-related opioid adverse reactions such as nausea, vomiting, CNS effects, and respiratory depression.""
  - **Association**: The drug itself (OXYCONTIN) is associated with causing respiratory depression as plasma concentration increases.
 

 15. **Specific Populations - Age: Geriatric Population**:
  - **Sentence**: ""Respiratory depression is the chief risk for elderly patients treated with opioids and has occurred after large initial doses were administered to patients who are not opioid-tolerant or when opioids were co-administered with other agents that depress respiration.""
  - **Association**: The drug itself (OXYCONTIN) is associated with causing respiratory depression in elderly patients.
 

 16. **Specific Populations - Hepatic Impairment**:
  - **Sentence**: ""Regularly evaluate closely for signs of respiratory depression, sedation, and hypotension.""
  - **Association**: The drug itself (OXYCONTIN) is associated with causing respiratory depression in patients with hepatic impairment.
 

 17. **Specific Populations - Renal Impairment**:
  - **Sentence**: ""Follow a conservative approach to dose initiation and adjust according to the clinical situation.""
  - **Association**: This sentence advises caution but does not directly discuss pulmonary risks.
 

 18. **Specific Populations - Sex Differences**:
  - **Sentence**: ""The clinical relevance of a difference of this magnitude is low for a drug intended for chronic usage at individualized dosages, and there was no male/female difference detected for efficacy or adverse events in clinical trials.""
  - **Association**: This sentence discusses sex differences but does not directly discuss pulmonary risks.
 

 19. **Drug Interaction Studies - CYP3A4 Inhibitors**:
  - **Sentence**: ""Co-administration of OXYCONTIN (10 mg single dose) and the CYP3A4 inhibitor ketoconazole (200 mg BID) increased oxycodone AUC and Cmax by 170% and 100%, respectively.""
  - **Association**: This sentence discusses drug interactions but does not directly discuss pulmonary risks.
 

 20. **Drug Interaction Studies - CYP3A4 Inducers**:
  - **Sentence**: ""A published study showed that the co-administration of rifampin, a drug metabolizing enzyme inducer, decreased oxycodone AUC and Cmax values by 86% and 63%, respectively.""
  - **Association**: This sentence discusses drug interactions but does not directly discuss pulmonary risks.
 

 21. **Drug Interaction Studies - CYP2D6 Inhibitors**:
  - **Sentence**: ""Oxycodone is metabolized in part to oxymorphone via CYP2D6.""
  - **Association**: This sentence discusses drug interactions but does not directly discuss pulmonary risks.
 

 22. **Nonclinical Toxicology - Carcinogenesis**:
  - **Sentence**: ""Carcinogenic potential of oxycodone was evaluated in a 2-year oral gavage study in Sprague-Dawley rats.""
  - **Association**: This sentence discusses carcinogenesis but does not directly discuss pulmonary risks.
 

 23. **Nonclinical Toxicology - Mutagenesis**:
  - **Sentence**: ""Oxycodone was genotoxic in the in vitro mouse lymphoma assay.""
  - **Association**: This sentence discusses mutagenesis but does not directly discuss pulmonary risks.
 

 24. **Nonclinical Toxicology - Impairment of Fertility**:
  - **Sentence**: ""In a study of reproductive performance, rats were administered a once daily gavage dose of the vehicle or oxycodone hydrochloride.""
  - **Association**: This sentence discusses fertility but does not directly discuss pulmonary risks.
 

 25. **Clinical Studies - Adult Clinical Study**:
  - **Sentence**: ""A double-blind, placebo-controlled, fixed-dose, parallel group, two-week study was",Most,Yes,1,1,
