generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries
PERPHENAZINE,"### Summary of Hematological Toxicity Risks and Reactions for Perphenazine

1. **Leukopenia, Neutropenia, and Agranulocytosis:**
   - **Association/Cause:** Events of leukopenia, neutropenia, and agranulocytosis have been reported in clinical trials and postmarketing experience with antipsychotic agents, including perphenazine.
   - **Details:** Patients with preexisting low white blood cell count (WBC) or a history of drug-induced leukopenia/neutropenia should have their complete blood count (CBC) monitored frequently during the first few months of therapy. Perphenazine should be discontinued at the first sign of a decline in WBC in the absence of other causative factors. Patients with neutropenia should be carefully monitored for fever or other symptoms or signs of infection and treated promptly if such symptoms or signs occur. Patients with severe neutropenia (absolute neutrophil count <1000/mm³) should discontinue perphenazine and have their WBC followed until recovery.

2. **Hematological Effects:**
   - **Association/Cause:** Perphenazine has been associated with agranulocytosis, eosinophilia, leukopenia, hemolytic anemia, thrombocytopenic purpura, and pancytopenia.
   - **Details:** Most cases of agranulocytosis have occurred between the fourth and tenth weeks of therapy. Patients should be watched closely, especially during that period, for the sudden appearance of sore throat or signs of infection. If white blood cell and differential cell counts show significant cellular depression, the drug should be discontinued and appropriate therapy started. However, a slightly lowered white count is not in itself an indication to discontinue the drug.

### Conclusion
Perphenazine is associated with several hematological risks, including leukopenia, neutropenia, agranulocytosis, eosinophilia, hemolytic anemia, thrombocytopenic purpura, and pancytopenia. Monitoring of blood counts is essential, and discontinuation of the drug is recommended if significant hematological abnormalities are detected.",Most,Yes,1,1,
PLERIXAFOR,"### Summary of Hematological Toxicity Risks and Hematological Reactions for Mozobil (Plerixafor)

1. **Hematologic Effects:**
   - **Increased Circulating Leukocytes:** Mozobil, in conjunction with filgrastim, increases circulating leukocytes. This effect is directly associated with the drug.
   - **Decreased Platelet Counts:** Thrombocytopenia (decreased platelet counts) has been observed in patients receiving Mozobil. This effect is directly associated with the drug.

2. **Potential for Tumor Cell Mobilization:**
   - **Tumor Cell Release:** When used in combination with filgrastim for HSC mobilization, Mozobil may release tumor cells from the marrow, which could be collected in the leukapheresis product. This potential risk is directly associated with the drug.

3. **Splenic Enlargement and Rupture:**
   - **Splenic Effects:** Cases of splenic enlargement and/or rupture have been reported following the administration of Mozobil in conjunction with filgrastim. This effect is directly associated with the drug.

4. **Clinical Trials Experience:**
   - **Leukocytosis:** In clinical trials, white blood cell counts of 100,000/mcL or greater were observed in 7% of patients receiving Mozobil, compared to 1% of patients receiving placebo. This effect is directly associated with the drug.
   - **Thrombocytopenia:** Thrombocytopenia was observed in patients receiving Mozobil. This effect is directly associated with the drug.

5. **Postmarketing Experience:**
   - **Splenomegaly and Splenic Rupture:** Postmarketing reports include cases of splenomegaly and splenic rupture. This effect is directly associated with the drug.

### Conclusion
Mozobil (plerixafor) is associated with several hematological risks, including increased circulating leukocytes, decreased platelet counts, potential tumor cell mobilization, and splenic enlargement or rupture. These effects have been observed in clinical trials and postmarketing reports, indicating a direct association with the drug.",Most,Yes,1,1,
PRALSETINIB,"### Summary of Hematological Toxicity Risks and Reactions for GAVRETO (pralsetinib)

1. **Warnings and Precautions: Hemorrhagic Events**
   - **Sentence:** ""Serious, including fatal, hemorrhagic events can occur with GAVRETO.""
   - **Summary:** GAVRETO is associated with serious and potentially fatal hemorrhagic events.

2. **Adverse Reactions: Clinical Trials Experience**
   - **Sentence:** ""The most common Grade 3-4 laboratory abnormalities (≥ 2%) were decreased lymphocytes, decreased neutrophils, decreased hemoglobin, decreased phosphate, decreased leukocytes, decreased sodium, increased aspartate aminotransferase (AST), increased alanine aminotransferase (ALT), decreased calcium (corrected), decreased platelets, increased alkaline phosphatase, increased potassium, decreased potassium and increased bilirubin.""
   - **Summary:** GAVRETO is associated with Grade 3-4 hematological laboratory abnormalities, including decreased lymphocytes, neutrophils, hemoglobin, leukocytes, and platelets.

3. **RET Fusion-Positive Non-Small Cell Lung Cancer: Adverse Reactions**
   - **Sentence:** ""The most common Grade 3-4 laboratory abnormalities (≥ 2%) were decreased lymphocytes, decreased neutrophils, decreased hemoglobin, decreased phosphate, decreased leukocytes, decreased sodium, increased aspartate aminotransferase (AST), increased alanine aminotransferase (ALT), decreased calcium (corrected), decreased platelets, increased alkaline phosphatase, increased potassium, decreased potassium and increased bilirubin.""
   - **Summary:** In patients with RET fusion-positive NSCLC, GAVRETO is associated with Grade 3-4 hematological laboratory abnormalities, including decreased lymphocytes, neutrophils, hemoglobin, leukocytes, and platelets.

4. **RET Fusion-Positive Non-Small Cell Lung Cancer: Adverse Reactions (Table 6)**
   - **Sentence:** ""Select Laboratory Abnormalities (≥ 20%) Worsening from Baseline in RET Fusion-Positive NSCLC Patients Who Received GAVRETO in ARROW.""
   - **Summary:** GAVRETO is associated with worsening hematological laboratory abnormalities in patients with RET fusion-positive NSCLC.

5. **RET-altered Thyroid Cancer: Adverse Reactions**
   - **Sentence:** ""The most common Grade 3-4 laboratory abnormalities (≥ 2%) were decreased lymphocytes, decreased neutrophils, decreased hemoglobin, decreased phosphate, decreased leukocytes, decreased sodium, increased aspartate aminotransferase (AST), increased alanine aminotransferase (ALT), decreased calcium (corrected), decreased platelets, increased alkaline phosphatase, increased potassium, decreased potassium and increased bilirubin.""
   - **Summary:** In patients with RET-altered thyroid cancer, GAVRETO is associated with Grade 3-4 hematological laboratory abnormalities, including decreased lymphocytes, neutrophils, hemoglobin, leukocytes, and platelets.

6. **RET-altered Thyroid Cancer: Adverse Reactions (Table 8)**
   - **Sentence:** ""Select Laboratory Abnormalities (≥ 20%) Worsening from Baseline in RET-altered Thyroid Cancer Patients Who Received GAVRETO in ARROW.""
   - **Summary:** GAVRETO is associated with worsening hematological laboratory abnormalities in patients with RET-altered thyroid cancer.

7. **Patient Counseling Information: Hemorrhagic Events**
   - **Sentence:** ""Advise patients that GAVRETO may increase the risk for bleeding and to contact their healthcare provider if they experience any signs or symptoms of bleeding.""
   - **Summary:** GAVRETO is associated with an increased risk of bleeding, and patients should be advised to contact their healthcare provider if they experience any signs or symptoms of bleeding.

8. **Patient Information: Bleeding Problems**
   - **Sentence:** ""GAVRETO can cause bleeding which can be serious and cause death.""
   - **Summary:** GAVRETO is associated with serious and potentially fatal bleeding problems.

9. **Patient Information: Common Severe Abnormal Blood Test Results**
   - **Sentence:** ""The most common severe abnormal blood test results with GAVRETO include decreased white blood cell, red blood cell, and platelet counts.""
   - **Summary:** GAVRETO is associated with severe abnormal blood test results, including decreased white blood cell, red blood cell, and platelet counts.

### Conclusion
GAVRETO (pralsetinib) is associated with several hematological toxicity risks and reactions, including serious and potentially fatal hemorrhagic events, and various Grade 3-4 laboratory abnormalities such as decreased lymphocytes, neutrophils, hemoglobin, leukocytes, and platelets. Patients should be advised of these risks and monitored accordingly.",Most,Yes,1,1,
RESLIZUMAB,"The drug label for CINQAIR (reslizumab) includes several sections that discuss hematological toxicity risks and hematological reactions. Here is a summary of those parts:

1. **Section 5.5 - Parasitic (Helminth) Infection:**
   - ""Eosinophils may be involved in the immunological response to some helminth infections.""
     - **Summary:** The drug itself (CINQAIR) may affect eosinophils, which are involved in the immune response to helminth infections.
   - ""It is unknown if CINQAIR will influence the immune response against parasitic infections.""
     - **Summary:** It is not known whether CINQAIR itself influences the immune response to parasitic infections.
   - ""Treat patients with pre-existing helminth infections before initiating CINQAIR.""
     - **Summary:** Patients should be treated for helminth infections before starting CINQAIR, implying a precaution due to potential hematological effects.
   - ""If patients become infected while receiving treatment with CINQAIR and do not respond to anti-helminth treatment, discontinue treatment with CINQAIR until infection resolves.""
     - **Summary:** If patients on CINQAIR develop helminth infections that do not respond to treatment, CINQAIR should be discontinued, indicating a potential hematological risk associated with the drug.

2. **Section 6.1 - Clinical Trials Experience:**
   - ""Elevated baseline creatine phosphokinase (CPK) was more frequent in patients randomized to CINQAIR (14%) versus placebo (9%).""
     - **Summary:** CINQAIR itself was associated with a higher frequency of elevated baseline CPK levels compared to placebo.
   - ""Transient CPK elevations in patients with normal baseline CPK values were observed more frequently with CINQAIR (20%) versus placebo (18%) during routine laboratory assessments.""
     - **Summary:** CINQAIR itself was associated with more frequent transient CPK elevations compared to placebo.
   - ""CPK elevations >10 x ULN, regardless of baseline CPK value, were 0.8% in the CINQAIR group compared to 0.4% in the placebo group.""
     - **Summary:** CINQAIR itself was associated with a higher incidence of significant CPK elevations compared to placebo.
   - ""CPK elevations >10 x ULN were asymptomatic and did not lead to treatment discontinuation.""
     - **Summary:** Although CINQAIR itself was associated with significant CPK elevations, these were asymptomatic and did not result in discontinuation of the drug.

3. **Section 12.2 - Pharmacodynamics:**
   - ""In clinical studies with CINQAIR 3 mg/kg, reductions in blood eosinophil counts were observed following the first dose and maintained through 52 weeks of treatment with no signs of tachyphylaxis.""
     - **Summary:** CINQAIR itself caused reductions in blood eosinophil counts, which were sustained over the treatment period.
   - ""Mean eosinophil counts were 696 cells/mcL (n=245) and 624 cells/mcL (n=244) at baseline, and were 55 cells/mcL (92% reduction, n=212) and 496 cells/mcL (21% reduction, n=212) at the Week 52 visit for the CINQAIR and placebo treatment groups, respectively.""
     - **Summary:** CINQAIR itself caused a significant reduction in mean eosinophil counts compared to placebo.
   - ""Early eosinophil reduction was apparent in a subset of patients who had blood eosinophil counts assessed at days 2-3: 220 cells/mcL and 610/mcL for CINQAIR (n=35) and placebo (n=32), respectively.""
     - **Summary:** CINQAIR itself caused early reductions in eosinophil counts compared to placebo.
   - ""Eosinophils returned towards baseline in those CINQAIR-treated patients who completed a 90-day follow-up assessment (n=35, 480 cells/mcL), approximately 120 days after the last dose of CINQAIR.""
     - **Summary:** Eosinophil counts returned towards baseline after discontinuation of CINQAIR, indicating the drug's effect on eosinophil levels is reversible.

In summary, CINQAIR is associated with hematological risks, particularly related to eosinophil counts and creatine phosphokinase (CPK) levels. The drug causes significant reductions in eosinophil counts and is associated with elevated CPK levels, which are important considerations for its use and monitoring.",Most,Yes,1,1,
ROSUVASTATIN CALCIUM; ROSUVASTATIN CALCIUN,"The drug label for Rosuvastatin Calcium discusses hematological toxicity risks and hematological reactions in the following sections:

1. **Section 6.2 Postmarketing Experience**:
   - **Thrombocytopenia**: The label mentions that thrombocytopenia has been identified during postapproval use of rosuvastatin. This indicates that the drug itself has been associated with this hematological reaction.

2. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility**:
   - **Spermatidic Giant Cells**: In testicles of dogs treated with rosuvastatin at 30 mg/kg/day for one month, spermatidic giant cells were seen. This suggests that the drug itself caused this hematological reaction in animal studies.
   - **Spermatidic Giant Cells in Monkeys**: Spermatidic giant cells were observed in monkeys after 6-month treatment at 30 mg/kg/day in addition to vacuolation of seminiferous tubular epithelium. This indicates that the drug itself caused these hematological reactions in animal studies.

These sections highlight that rosuvastatin has been associated with specific hematological reactions, including thrombocytopenia in humans and spermatidic giant cells in animal studies.",Less,Yes,1,1,
RUXOLITINIB,"### Summary of Hematological Toxicity Risks and Reactions for OPZELURA (Ruxolitinib) Cream

1. **Thrombocytopenia, Anemia, and Neutropenia:**
   - **Sentence:** ""Thrombocytopenia, anemia, and neutropenia were reported in the clinical trials with OPZELURA.""
   - **Summary:** The drug itself was associated with thrombocytopenia, anemia, and neutropenia in clinical trials.

2. **Warnings and Precautions (Section 5.6):**
   - **Sentence:** ""Thrombocytopenia, anemia, and neutropenia were reported in the clinical trials with OPZELURA.""
   - **Summary:** The drug itself was associated with thrombocytopenia, anemia, and neutropenia in clinical trials.
   - **Sentence:** ""Consider the benefits and risks for individual patients who have a known history of these events prior to initiating therapy with OPZELURA.""
   - **Summary:** The drug itself necessitates a risk-benefit analysis for patients with a history of thrombocytopenia, anemia, or neutropenia.
   - **Sentence:** ""Perform CBC monitoring as clinically indicated.""
   - **Summary:** The drug itself requires CBC monitoring due to the risk of hematological toxicity.
   - **Sentence:** ""If signs and/or symptoms of clinically significant thrombocytopenia, anemia, and neutropenia occur, patients should discontinue OPZELURA.""
   - **Summary:** The drug itself should be discontinued if significant hematological toxicity occurs.

3. **Adverse Reactions (Section 6.1):**
   - **Sentence:** ""Adverse reactions that occurred in TRuE-AD1 and TRuE-AD2 in < 1% of subjects in the OPZELURA group and none in the vehicle group were: neutropenia...""
   - **Summary:** The drug itself was associated with neutropenia in less than 1% of subjects in clinical trials.

4. **Medication Guide:**
   - **Sentence:** ""Low blood cell counts. OPZELURA may cause low platelet counts (thrombocytopenia), low red blood cell counts (anemia), and low white blood cell counts (neutropenia).""
   - **Summary:** The drug itself may cause thrombocytopenia, anemia, and neutropenia.
   - **Sentence:** ""If needed, your healthcare provider will do a blood test to check your blood cell counts during your treatment with OPZELURA and may stop your treatment if signs or symptoms of low blood cell counts happen.""
   - **Summary:** The drug itself may necessitate blood tests and potential discontinuation if hematological toxicity occurs.

### Conclusion
OPZELURA (ruxolitinib) cream is associated with hematological toxicity risks, including thrombocytopenia, anemia, and neutropenia. These risks were observed in clinical trials and necessitate careful monitoring and potential discontinuation of the drug if significant hematological reactions occur.",Most,Yes,1,1,
SELUMETINIB,"### Summary of Hematological Toxicity Risks and Reactions for KOSELUGO (Selumetinib)

1. **Warnings and Precautions:**
   - **Increased Creatine Phosphokinase (CPK):** KOSELUGO can cause increased CPK levels, which is a hematological reaction. This increase can lead to rhabdomyolysis or other causes. The drug itself is associated with this risk.

2. **Adverse Reactions:**
   - **Clinical Trials Experience:**
     - **Decreased Hemoglobin:** In clinical trials, KOSELUGO was associated with decreased hemoglobin levels in 41% of patients, with 4% experiencing Grade 3 severity.
     - **Decreased Neutrophils:** KOSELUGO was associated with decreased neutrophil levels in 33% of patients, with 4% experiencing Grade 3 severity.
     - **Decreased Lymphocytes:** KOSELUGO was associated with decreased lymphocyte levels in 20% of patients, with 2% experiencing Grade 3 severity.

3. **Laboratory Abnormalities:**
   - **Select Laboratory Abnormalities (≥ 15%) Worsening from Baseline:**
     - **Decreased Hemoglobin:** KOSELUGO was associated with decreased hemoglobin levels in 41% of patients, with 4% experiencing Grade 3 severity.
     - **Decreased Neutrophils:** KOSELUGO was associated with decreased neutrophil levels in 33% of patients, with 4% experiencing Grade 3 severity.
     - **Decreased Lymphocytes:** KOSELUGO was associated with decreased lymphocyte levels in 20% of patients, with 2% experiencing Grade 3 severity.

### Conclusion
KOSELUGO (selumetinib) is associated with several hematological risks and reactions, including increased CPK levels, decreased hemoglobin, decreased neutrophils, and decreased lymphocytes. These reactions were observed in clinical trials and are directly linked to the administration of the drug.",Most,Yes,1,1,
SUMATRIPTAN SUCCINATE U-D,"The provided drug label for Sumatriptan tablets does not explicitly discuss hematological toxicity risks or hematological reactions. The label primarily focuses on cardiovascular, neurological, and other systemic risks and adverse reactions. Here is a summary of the relevant sections that might indirectly relate to hematological concerns, though they do not explicitly mention hematological toxicity:

1. **Warnings and Precautions (5.5 Other Vasospasm Reactions)**:
   - Sumatriptan tablets may cause non-coronary vasospastic reactions, such as peripheral vascular ischemia. This indicates that the drug itself is associated with vasospastic reactions, which could potentially affect blood flow but does not directly state hematological toxicity.

2. **Adverse Reactions (6.1 Clinical Trials Experience)**:
   - The label lists various adverse reactions observed in clinical trials, such as paresthesia, chest pain, and vertigo. These reactions are associated with the drug itself but do not specifically mention hematological toxicity.

3. **Adverse Reactions (6.2 Postmarketing Experience)**:
   - The label mentions hypotension and palpitations as cardiovascular adverse reactions reported post-approval. These reactions are associated with the drug itself but do not directly indicate hematological toxicity.

4. **Drug Interactions (7.1 Ergot-Containing Drugs)**:
   - The label advises against the use of ergot-containing drugs within 24 hours of taking sumatriptan due to the risk of prolonged vasospastic reactions. This interaction is associated with the drug itself but does not directly mention hematological toxicity.

5. **Use in Specific Populations (8.1 Pregnancy)**:
   - The label discusses potential risks to the fetus based on animal data, including embryolethality and fetal abnormalities. These risks are associated with the drug itself but do not specifically mention hematological toxicity.

6. **Nonclinical Toxicology (13.2 Animal Toxicology and/or Pharmacology)**:
   - The label mentions that dogs receiving oral sumatriptan developed corneal opacities and defects in the corneal epithelium. This toxicity is associated with the drug itself but does not directly indicate hematological toxicity.

In summary, the drug label for Sumatriptan tablets does not explicitly discuss hematological toxicity risks or reactions. The mentioned adverse effects and precautions are primarily related to cardiovascular, neurological, and other systemic reactions.",No,No,1,1,
TAFENOQUINE SUCCINATE,"### Summary of Hematological Toxicity Risks and Reactions for KRINTAFEL (Tafenoquine)

1. **Hemolytic Anemia Risk**:
   - **Sentence**: ""Hemolytic Anemia: G6PD testing must be performed before prescribing KRINTAFEL due to the risk of hemolytic anemia.""
   - **Summary**: KRINTAFEL is associated with a risk of hemolytic anemia, necessitating G6PD testing before prescription.

2. **G6PD Deficiency Contraindication**:
   - **Sentence**: ""KRINTAFEL is contraindicated in patients with G6PD deficiency or unknown G6PD status due to the risk of hemolytic anemia.""
   - **Summary**: KRINTAFEL is contraindicated in patients with G6PD deficiency or unknown status because it can cause hemolytic anemia.

3. **Monitoring for Hemolysis**:
   - **Sentence**: ""Monitor patients for clinical signs or symptoms of hemolysis.""
   - **Summary**: Patients taking KRINTAFEL should be monitored for signs of hemolysis, indicating the drug can cause this condition.

4. **Hemolytic Anemia in Pregnancy**:
   - **Sentence**: ""KRINTAFEL may cause hemolytic anemia when administered to a pregnant woman with a G6PD-deficient fetus.""
   - **Summary**: KRINTAFEL can cause hemolytic anemia in a G6PD-deficient fetus if administered to a pregnant woman.

5. **Breastfeeding Contraindication**:
   - **Sentence**: ""KRINTAFEL is contraindicated in breastfeeding women when the infant is found to be G6PD deficient or if G6PD status is unknown.""
   - **Summary**: KRINTAFEL is contraindicated in breastfeeding women with G6PD-deficient infants or unknown G6PD status because it can cause hemolytic anemia in the infant.

6. **Clinical Trials Hemoglobin Decline**:
   - **Sentence**: ""In clinical trials, declines in hemoglobin levels were reported in some G6PD-normal patients.""
   - **Summary**: KRINTAFEL was associated with declines in hemoglobin levels in some G6PD-normal patients during clinical trials.

7. **Adverse Reactions - Hemoglobin**:
   - **Sentence**: ""Common adverse reactions (≥5%) were dizziness, nausea, vomiting, headache, and decreased hemoglobin.""
   - **Summary**: KRINTAFEL commonly caused decreased hemoglobin as an adverse reaction.

8. **Overdosage**:
   - **Sentence**: ""Hemoglobin decline and methemoglobinemia may be encountered in an overdose with KRINTAFEL.""
   - **Summary**: Overdose of KRINTAFEL may cause a decline in hemoglobin levels.

9. **Patient Counseling Information**:
   - **Sentence**: ""Advise patients to seek medical attention if signs of hemolysis occur.""
   - **Summary**: Patients should be advised that KRINTAFEL can cause hemolysis and to seek medical attention if symptoms appear.

10. **Patient Information Leaflet**:
    - **Sentence**: ""KRINTAFEL can cause a breakdown of red blood cells (hemolysis) in people with G6PD deficiency.""
    - **Summary**: KRINTAFEL can cause hemolysis in individuals with G6PD deficiency.

11. **Patient Information Leaflet - Hemolytic Anemia Symptoms**:
    - **Sentence**: ""Contact your healthcare provider if you develop signs of hemolytic anemia, which include darkening of the lips or urine, dizziness, confusion, feeling tired, light-headedness, or shortness of breath.""
    - **Summary**: Patients should be aware that KRINTAFEL can cause hemolytic anemia and seek medical advice if symptoms occur.

### Conclusion
KRINTAFEL (tafenoquine) is associated with significant hematological toxicity risks, particularly hemolytic anemia, especially in patients with G6PD deficiency. It is crucial to perform G6PD testing before prescribing the drug and to monitor patients for signs of hemolysis. The drug can also cause declines in hemoglobin levels and is contraindicated in certain populations due to these risks.",Most,Yes,1,1,
TECHNETIUM TC 99M MERTIATIDE,"The drug label for the Kit for the Preparation of Technetium Tc 99m Mertiatide does not explicitly mention hematological toxicity risks or hematological reactions. The sections on adverse reactions, warnings, and precautions do not list any hematological issues. The adverse reactions reported include tachycardia, nausea, vomiting, shaking chills, fever, seizure, wheezing, dyspnea, itching, rash, and elevation in blood pressure, but none of these are hematological in nature. Additionally, the warnings and precautions focus on radiation risks rather than hematological toxicity. Therefore, there is no information in the provided drug label that associates the drug with hematological toxicity risks or reactions.",No,No,1,1,
TETRACYCLINE HYDROCHLORIDE,"### Summary of Hematological Toxicity Risks and Reactions for Tetracycline Hydrochloride Capsules

1. **Antianabolic Action**:
   - **Sentence**: ""The antianabolic action of the tetracyclines may cause an increase in BUN.""
   - **Summary**: The drug itself is associated with an increase in blood urea nitrogen (BUN) due to its antianabolic action.

2. **Laboratory Monitoring for Long-Term Therapy**:
   - **Sentence**: ""In long-term therapy, perform periodic laboratory evaluation of organ systems, including hematopoietic, renal and hepatic studies.""
   - **Summary**: The drug itself necessitates periodic hematopoietic evaluations during long-term therapy to monitor for potential hematological toxicity.

3. **Adverse Reactions - Blood**:
   - **Sentence**: ""Blood: hemolytic anemia, thrombocytopenia, thrombocytopenic purpura, neutropenia and eosinophilia have been reported.""
   - **Summary**: The drug itself has been associated with causing hemolytic anemia, thrombocytopenia, thrombocytopenic purpura, neutropenia, and eosinophilia.

4. **Warnings - Laboratory Monitoring for Long-Term Therapy**:
   - **Sentence**: ""In long-term therapy, perform periodic laboratory evaluation of organ systems, including hematopoietic, renal and hepatic studies.""
   - **Summary**: The drug itself requires periodic hematopoietic evaluations during long-term therapy to monitor for potential hematological toxicity.

### Conclusion
Tetracycline Hydrochloride Capsules are associated with several hematological risks and reactions, including hemolytic anemia, thrombocytopenia, thrombocytopenic purpura, neutropenia, and eosinophilia. Periodic hematopoietic evaluations are recommended during long-term therapy to monitor for these potential adverse effects.",Most,Yes,1,1,
TISOTUMAB VEDOTIN,"### Summary of Hematological Toxicity Risks and Reactions for TIVDAK

1. **Adverse Reactions Section (6.1)**
   - **Hematological Reactions:**
     - **Decreased Hemoglobin:** The drug TIVDAK was associated with decreased hemoglobin levels in patients. This was one of the most common adverse reactions, occurring in ≥25% of patients.
     - **Neutrophils Decreased:** The drug TIVDAK was associated with decreased neutrophil levels in patients. This was observed in 16% of patients in the innovaTV 301 study and 21% in the innovaTV 204 study.
     - **Activated Partial Thromboplastin Time Prolonged:** The drug TIVDAK was associated with prolonged activated partial thromboplastin time in patients. This was observed in 16% of patients in the innovaTV 301 study and 26% in the innovaTV 204 study.

2. **Clinical Trials Experience (innovaTV 301)**
   - **Hematological Laboratory Abnormalities:**
     - **Hemoglobin Decreased:** The drug TIVDAK was associated with decreased hemoglobin levels in 41% of patients, with 7% experiencing Grade 3 or 4 severity.
     - **Neutrophils Decreased:** The drug TIVDAK was associated with decreased neutrophil levels in 16% of patients, with 3.3% experiencing Grade 3 or 4 severity.
     - **Activated Partial Thromboplastin Time Prolonged:** The drug TIVDAK was associated with prolonged activated partial thromboplastin time in 16% of patients, with 1.9% experiencing Grade 3 or 4 severity.

3. **Clinical Trials Experience (innovaTV 204)**
   - **Hematological Laboratory Abnormalities:**
     - **Hemoglobin Decreased:** The drug TIVDAK was associated with decreased hemoglobin levels in 52% of patients, with 7% experiencing Grade 3 or 4 severity.
     - **Neutrophils Decreased:** The drug TIVDAK was associated with decreased neutrophil levels in 21% of patients, with 3% experiencing Grade 3 or 4 severity.
     - **Activated Partial Thromboplastin Time Prolonged:** The drug TIVDAK was associated with prolonged activated partial thromboplastin time in 26% of patients, with 2% experiencing Grade 3 or 4 severity.

### Conclusion
The drug TIVDAK is associated with several hematological toxicity risks and reactions, including decreased hemoglobin and neutrophil levels, as well as prolonged activated partial thromboplastin time. These reactions were observed in clinical trials and were among the common adverse reactions experienced by patients.",Most,Yes,1,1,
VORTIOXETINE,"### Summary of Hematological Toxicity Risks and Reactions for TRINTELLIX (Vortioxetine)

1. **Increased Risk of Bleeding**:
   - **Sentence**: ""The use of drugs that interfere with serotonin reuptake inhibition, including TRINTELLIX, may increase the risk of bleeding events.""
   - **Summary**: TRINTELLIX itself is associated with an increased risk of bleeding events.

2. **Concomitant Use with Antiplatelet or Anticoagulant Drugs**:
   - **Sentence**: ""Concomitant use of aspirin, nonsteroidal anti-inflammatory drugs (NSAIDs), warfarin, and other anticoagulants may add to this risk.""
   - **Summary**: The risk of bleeding associated with TRINTELLIX is increased when used with other antiplatelet or anticoagulant drugs.

3. **Case Reports and Epidemiological Studies**:
   - **Sentence**: ""Case reports and epidemiological studies (case-control and cohort design) have demonstrated an association between use of drugs that interfere with serotonin reuptake and the occurrence of gastrointestinal bleeding.""
   - **Summary**: TRINTELLIX, as a drug that interferes with serotonin reuptake, is associated with gastrointestinal bleeding based on case reports and studies.

4. **Postpartum Hemorrhage**:
   - **Sentence**: ""Based on data from the published observational studies, exposure to SSRIs or SNRIs, particularly in the month before delivery, has been associated with a less than 2-fold increase in the risk of postpartum hemorrhage.""
   - **Summary**: TRINTELLIX, as an SSRI/SNRI, is associated with an increased risk of postpartum hemorrhage when used in the month before delivery.

5. **Bleeding Events Range**:
   - **Sentence**: ""Bleeding events related to drugs that inhibit serotonin reuptake have ranged from ecchymosis, hematoma, epistaxis, and petechiae to life-threatening hemorrhages.""
   - **Summary**: TRINTELLIX, as a serotonin reuptake inhibitor, is associated with a range of bleeding events from minor to life-threatening.

6. **Informing Patients**:
   - **Sentence**: ""Inform patients about the increased risk of bleeding when TRINTELLIX is coadministered with NSAIDs, aspirin, or other drugs that affect coagulation or bleeding.""
   - **Summary**: Patients should be informed that TRINTELLIX is associated with an increased risk of bleeding, especially when taken with other drugs affecting coagulation.

7. **Monitoring Coagulation Indices**:
   - **Sentence**: ""For patients taking warfarin, carefully monitor coagulation indices when initiating, titrating, or discontinuing TRINTELLIX.""
   - **Summary**: TRINTELLIX is associated with an increased risk of bleeding, necessitating careful monitoring of coagulation indices in patients taking warfarin.

8. **Drug Interactions**:
   - **Sentence**: ""Concomitant use of TRINTELLIX with an antiplatelet or anticoagulant drug may potentiate the risk of bleeding.""
   - **Summary**: TRINTELLIX is associated with an increased risk of bleeding when used with antiplatelet or anticoagulant drugs.

9. **Monitoring for Hemostasis**:
   - **Sentence**: ""Patients receiving other drugs that interfere with hemostasis should be carefully monitored when TRINTELLIX is initiated or discontinued.""
   - **Summary**: TRINTELLIX is associated with an increased risk of bleeding, requiring careful monitoring when used with other drugs that interfere with hemostasis.

10. **Patient Counseling Information**:
    - **Sentence**: ""Inform patients about the concomitant use of TRINTELLIX with NSAIDs, aspirin, warfarin, or other drugs that affect coagulation because combined use has been associated with an increased risk of bleeding.""
    - **Summary**: TRINTELLIX is associated with an increased risk of bleeding, especially when used with NSAIDs, aspirin, warfarin, or other coagulation-affecting drugs.

### Conclusion
TRINTELLIX (vortioxetine) is associated with an increased risk of various bleeding events, particularly when used in combination with other drugs that affect coagulation, such as NSAIDs, aspirin, and warfarin. This risk includes gastrointestinal bleeding, postpartum hemorrhage, and other bleeding events ranging from minor to life-threatening. Patients should be informed and monitored carefully for these risks.",Most,Yes,1,1,
