,Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level,split
438,Idhifa,ENASIDENIB MESYLATE,ENASIDENIB MESYLATE,Heart Damage,wp,most,pericardial effusion,severe,train
439,VIIBRYD,VILAZODONE HYDROCHLORIDE,VILAZODONE HYDROCHLORIDE,Arrhythmia,ar,less,Palpitations,mild,train
440,Hepsera,ADEFOVIR DIPIVOXIL,adefovir dipivoxil,,no,no,,,train
441,ANZEMET,DOLASETRON MESYLATE,DOLASETRON MESYLATE,Arrhythmia,wp,most,prolongs the QT interval,severe,test
442,TABRECTA,CAPMATINIB,CAPMATINIB,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,,test
443,JANUVIA,SITAGLIPTIN,SITAGLIPTIN PHOSPHATE,Heart Damage,wp,most,heart failure,severe,train
444,Corlanor,IVABRADINE,IVABRADINE HYDROCHLORIDE,Arrhythmia,wp,most,heart block,moderate,test
445,Radiogardase,PRUSSIAN BLUE INSOLUBLE CAPSULES,FERRIC FERROCYANIDE,,no,no,,,train
446,Trintellix,VORTIOXETINE,VORTIOXETINE HYDROBROMIDE,,CLINICAL PHARMACOLOGY,ambiguous,QTc was below 10 ms,,train
447,TAVALISSE,FOSTAMATINIB,FOSTAMATINIB,Heart Damage,wp,most,increases the QTc interval /Hypertension,mild,train
448,Alinia,NITAZOXANIDE,NITAZOXANIDE,,no,no,,,test
449,Vyvanse,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Mixed,wp,most,Sudden death/myocardial infarction/Heart rate,severe,train
450,Hetlioz; Hetlioz LQ,TASIMELTEON,TASIMELTEON,,no,no,,,test
451,Pradaxa,DABIGATRAN ETEXILATE MESYLATE,DABIGATRAN ETEXILATE MESYLATE,Heart Damage,wp,most,myocardial infarction,severe,train
452,TPOXX,TECOVIRIMAT MONOHYDRATE,TECOVIRIMAT MONOHYDRATE,,CLINICAL PHARMACOLOGY,no, not prolong the QT/QTc interval,,test
453,IRESSA,GEFITINIB,GEFITINIB,,no,no,,,test
454,Mycapssa,OCTREOTIDE,Octreotide,Arrhythmia,wp,most,QT prolongation,moderate,train
455,Orenitram,TREPROSTINIL,treprostinil,,CLINICAL PHARMACOLOGY,ambiguous,"not been evaluated in a
thorough QTc study.",,train
456,Ruzurgi,AMIFAMPRIDINE,Amifampridine,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,test
457,Adempas,RIOCIGUAT,RIOCIGUAT,Heart Damage,wp,less,Hypotension,mild,train
458,MAYZENT,SIPONIMOD,SIPONIMOD,Mixed,wp,less,atrioventricular conduction delays /Hypertension,mild,test
459,Savella,MILNACIPRAN HYDROCHLORIDE,MILNACIPRAN HYDROCHLORIDE; milnacipran hydrochloride,Mixed,wp,less,Elevated Heart Rate/Elevated Blood Pressure,mild,test
460,Sapropterin Dihydrochloride,SAPROPTERIN DIHYDROCHLORIDE,SAPROPTERIN DIHYDROCHLORIDE,Heart Damage,ar,less,myocardial infarction,severe,test
461,BELVIQ XR; Belviq,LORCASERIN HYDROCHLORIDE HEMIHYDRATE,LORCASERIN HYDROCHLORIDE HEMIHYDRATE,Mixed,wp,most,Regurgitant cardiac valvular disease/Heart Rate Decreases,severe,train
462,SPRYCEL,DASATINIB,dasatinib,Mixed,wp,most,cardiac ischemic events/QT Prolongation,severe,train
463,SOLOSEC,SECNIDAZOLE,SECNIDAZOLE,,CLINICAL PHARMACOLOGY,no,no clinically relevant increase in the QTc,,test
464,DURLAZA,ACETYLSALICYLIC ACID,Aspirin,,no,no,reduce the risk of death and myocardial infarction,,test
465,Diacomit,STIRIPENTOL,Stiripentol,,no,no,,,train
466,PROCYSBI,CYSTEAMINE BITARTRATE,Cysteamine bitartrate,,sp,ambiguous,Benign Intracranial Hypertension,,train
467,Auryxia,FERRIC CITRATE,TETRAFERRIC TRICITRATE DECAHYDRATE,,no,no,,,train
468,Synthroid,LEVOTHYROXINE SODIUM,LEVOTHYROXINE,Mixed,ar,less,myocardial infarction/ cardiac arrest,severe,train
469,TIBSOVO,IVOSIDENIB,ivosidenib,Arrhythmia,wp,most,QT (QTc) prolongation,severe,test
470,MYTESI,CROFELEMER,CROFELEMER,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
471,Livtencity,MARIBAVIR,MARIBAVIR,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,test
472,ALECENSA,ALECTINIB HYDROCHLORIDE,ALECTINIB HYDROCHLORIDE,Arrhythmia,wp,less,bradycardia,mild,train
473,Xcopri; Xcopri Maintenance Pack; Xcopri Titration Pack,CENOBAMATE,CENOBAMATE,Arrhythmia,wp,most,QT Shortening,moderate,train
474,Cevimeline,CEVIMELINE,CEVIMELINE HYDROCHLORIDE,Mixed,wp,less,"tachycardia, bradycardia/ hypotension, hypertension",mild,train
475,Orgovyx,RELUGOLIX,RELUGOLIX,Arrhythmia,wp,most,prolong the QT/QTc interval,severe,train
476,Rayaldee,CALCIFEDIOL,CALCIFEDIOL,Heart Damage,ar,less,congestive heart failure,severe,test
477,Tetracycline Hydrochloride,TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,,sp,ambiguous,Intracranial hypertension,,test
478,AUSTEDO; Austedo,DEUTETRABENAZINE,DEUTETRABENAZINE,Arrhythmia,wp,most, prolong the QT interval,severe,test
479,SIRTURO,BEDAQUILINE FUMARATE,Bedaquiline Fumarate,Arrhythmia,bw,most, QT Prolongation,moderate,test
480,Lorbrena,LORLATINIB,LORLATINIB,Mixed,wp,most,3 degree atrioventricular (AV) block/Hypertension ,severe,train
481,QELBREE,VILOXAZINE HYDROCHLORIDE,VILOXAZINE HYDROCHLORIDE,Mixed,wp,less,Increase in Heart Rate or Blood Pressure,mild,test
482,Trecator,ETHIONAMIDE,ETHIONAMIDE,,no,no,,,test
483,TAVNEOS,AVACOPAN,AVACOPAN,Heart Damage,ar,less,Hypertension,,test
484,XELJANZ; XELJANZ XR,TOFACITINIB,TOFACITINIB CITRATE,Heart Damage,bw,most,myocardial infarction,severe,test
485,Moxidectin,MOXIDECTIN,MOXIDECTIN,Heart Damage,wp,less,symptomatic orthostatic hypotension,mild,test
486,Desvenlafaxine,DESVENLAFAXINE,DESVENLAFAXINE,Heart Damage,wp,less, increases in blood pressure ,mild,train
487,NUPLAZID,PIMAVANSERIN TARTRATE,pimavanserin tartrate,Arrhythmia,wp,most,QT Interval Prolongation,moderate,test
488,Venclexta,VENETOCLAX,Venetoclax,,CLINICAL PHARMACOLOGY,no,no large effect on QTc interval ,,test
489,SLYND,DROSPIRENONE,DROSPIRENONE,,no,no,,,train
490,Linzess,LINACLOTIDE,LINACLOTIDE,,sp,ambiguous,hypotension and electrolyte abnormalities (hypokalemia and hyponatremia),mild,test
491,Myrbetriq,MIRABEGRON,MIRABEGRON,Heart Damage,wp,less,increase blood pressure,mild,train
492,STEGLATRO,ERTUGLIFLOZIN,ERTUGLIFLOZIN PIDOLATE,,CLINICAL PHARMACOLOGY,no,not prolong QTc,,train
493,RAZADYNE,GALANTAMINE HYDROBROMIDE,galantamine hydrobromide,Arrhythmia,wp,most,heart block,moderate,train
494,Daypro,OXAPROZIN,OXAPROZIN,Heart Damage,bw,most,myocardial infarction,severe,test
495,Stivarga,REGORAFENIB,REGORAFENIB MONOHYDRATE,Heart Damage,wp,most, myocardial ischemia and infarction,severe,train
496,ACCRUFER,FERRIC MALTOL,FERRIC MALTOL,,no,no,,,test
497,LAMPIT,NIFURTIMOX,NIFURTIMOX,,sp,ambiguous,Hypersensitivity reaction:hypotension,,test
498,PEXEVA,PAROXETINE MESYLATE,PAROXETINE MESYLATE,Mixed,ar,less,tachycardia/angina pectoris,mild,train
499,GEMTESA,VIBEGRON,vibegron,,CLINICAL PHARMACOLOGY,no,not prolong QTc,,test
500,ZYPITAMAG,PITAVASTATIN MAGNESIUM,PITAVASTATIN,,no,no,,,test
501,BREXAFEMME,IBREXAFUNGERP,IBREXAFUNGERP CITRATE,,CLINICAL PHARMACOLOGY,no,not prolong QTc,,train
502,HIPREX,METHENAMINE HIPPURATE,METHENAMINE HIPPURATE,,no,no,,,train
503,Tybost,COBICISTAT,COBICISTAT,,no,no,,,train
504,VERQUVO,VERICIGUAT,VERICIGUAT,Heart Damage,ar,less,Hypotension,mild,test
505,Rozlytrek,ENTRECTINIB,ENTRECTINIB,Mixed,wp,most,congestive heart failure /QT Interval Prolongation,severe,train
506,XIFAXAN,RIFAXIMIN,RIFAXIMIN,,no,no,,,test
507,PIZENSY,LACTITOL,LACTITOL,Heart Damage,ar,less,Increased blood pressure,mild,train
508,Avandia,ROSIGLITAZONE MALEATE,ROSIGLITAZONE MALEATE,Heart Damage,bw,most,congestive heart failure,severe,test
509,EMFLAZA,DEFLAZACORT,DEFLAZACORT,Heart Damage,wp,less,elevation of blood pressure,mild,train
510,Ketek,TELITHROMYCIN,telithromycin,Arrhythmia,wp,most,torsades de pointes,severe,train
511,Daurismo,GLASDEGIB,GLASDEGIB,Arrhythmia,wp,most,QTc prolongation,moderate,train
512,ORFADIN,NITISINONE,NITISINONE,,no,no,,,train
513,ZYKADIA,CERITINIB,CERITINIB,Arrhythmia,wp,most,QTc interval prolongation,moderate,test
514,Vumerity,DIROXIMEL FUMARATE,diroximel fumarate,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
515,Multaq,DRONEDARONE,Dronedarone,Mixed,bw,most,Class IV heart failure/atrial fibrillatio n,severe,test
516,Cenestin,"SYNTHETIC CONJUGATED ESTROGENS, A","ESTROGENS, CONJUGATED SYNTHETIC A",Heart Damage,bw,most,myocardial infarction and strok,severe,test
517,Quazepam,QUAZEPAM,QUAZEPAM,,no,no,,,train
518,Northera,DROXIDOPA,DROXIDOPA,Heart Damage,bw,most,supine hypertension,mild,test
519,Boniva,IBANDRONATE SODIUM,IBANDRONATE SODIUM,Heart Damage,ar,less,Hypertension,mild,train
520,Livalo,PITAVASTATIN CALCIUM,pitavastatin calcium,,CLINICAL PHARMACOLOGY,no,not prolongation of the QTc interval ,,test
521,Olumiant,BARICITINIB,baricitinib,Heart Damage,bw,most, sudden cardiovascular death,severe,train
522,Zokinvy,LONAFARNIB,LONAFARNIB,Heart Damage,ar,less,Hypertension,mild,test
523,ZONTIVITY,VORAPAXAR,VORAPAXAR SULFATE,,CLINICAL PHARMACOLOGY,no,no effect on the QTc interval,,test
524,RYDAPT,RYDAPT,MIDOSTAURIN,Mixed,ar,less,Cardiac failure/QT prolongation,severe,train
525,CALQUENCE,ACALABRUTINIB,ACALABRUTINIB,Arrhythmia,wp,less,atrial fibrillation/atrial flutter,mild,test
526,citalopram,CITALOPRAM,CITALOPRAM HYDROBROMIDE,Arrhythmia,wp,most,QT-Prolongation and Torsade de Pointes,severe,test
527,Alunbrig,BRIGATINIB,brigatinib,Mixed,wp,less,Bradycardia/Hypertension,mild,test
528,FARYDAK,PANOBINOSTAT,PANOBINOSTAT LACTATE,Mixed,bw,most,cardiac ischemic events/severe arrhythmias,severe,train
529,ZEJULA,NIRAPARIB,niraparib,Heart Damage,wp,less,Hypertension,mild,test
530,Jardiance,EMPAGLIFLOZIN,empagliflozin,,no,no,,,train
531,Fycompa,PERAMPANEL,PERAMPANEL,,sp,ambiguous,Multiorgan hypersensitivity:myocarditis,,train
532,BRILINTA,TICAGRELOR,TICAGRELOR,Arrhythmia,wp,most, ventricular pauses,moderate,test
533,DOPTELET,AVATROMBOPAG MALEATE,AVATROMBOPAG MALEATE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
534,Ibrance,PALBOCICLIB,PALBOCICLIB,,CLINICAL PHARMACOLOGY,no, no  effect on QTc ,,test
535,Gilenya,FINGOLIMOD HCL,FINGOLIMOD HYDROCHLORIDE,Mixed,wp,most, third-degree AV block/Increased Blood Pressure ,severe,train
536,TYKERB,LAPATINIB,LAPATINIB DITOSYLATE,Mixed,wp,most,decrease LVEF/QT Prolongation,moderate,train
537,Cholbam,CHOLIC ACID,CHOLIC ACID,,no,no,,,test
538,amiloride hydrocloride,AMILORIDE HYDROCLORIDE,AMILORIDE HYDROCHLORIDE,Mixed,ar,less,Angina pectoris/Arrhythmia,mild,train
539,VEMLIDY,TENOFOVIR ALAFENAMIDE,TENOFOVIR ALAFENAMIDE FUMARATE,,CLINICAL PHARMACOLOGY,no,not affect the QT/QTc interval,,train
540,UKONIQ,UMBRALISIB,umbralisib tosylate,,CLINICAL PHARMACOLOGY,no,,,train
541,TABLOID,THIOGUANINE,THIOGUANINE,,no,no,,,train
542,azithromycin,AZITHROMYCIN,azithromycin,Mixed,ar,less,Arrhythmias/chest pain,mild,train
543,Vraylar,CARIPRAZINE,CARIPRAZINE,Heart Damage,wp,less,hypotension ,mild,test
544,Tasigna,NILOTINIB,NILOTINIB,Arrhythmia,bw,most,prolongs the QT interval,moderate,test
545,Revlimid,LENALIDOMIDE,LENALIDOMIDE,Heart Damage,bw,most, myocardial infarction ,severe,test
546,Toviaz,FESOTERODINE FUMARATE,FESOTERODINE FUMARATE,Mixed,ar,less,angina/QT prolongation on ECG,severe,test
547,Lenvima,LENVATINIB,LENVATINIB,Mixed,wp,most,cardiomyopathy/QT Interval Prolongation,severe,test
548,PURINETHOL,MERCAPTOPURINE,MERCAPTOPURINE,,no,no,,,test
549,Aplenzin,BUPROPION HYDROBROMIDE,BUPROPION HYDROBROMIDE,Heart Damage,wp,less,hypertension,mild,test
550,Chemet,SUCCIMER,SUCCIMER,Arrhythmia,ar,less,Arrhythmia,mild,train
551,Aemcolo,RIFAMYCIN,Rifamycin,,no,no,,,test
552,COMETRIQ,CABOZANTINIB,cabozantinib s-malate,Heart Damage,wp,less,Hypertension ,mild,test
553,Stendra,AVANAFIL,AVANAFIL,Heart Damage,ar,less,angina,moderate,train
554,Cerdelga,ELIGLUSTAT,eliglustat,Arrhythmia,wp,most," increases in ECG intervals (PR, QTc, and QRS)",moderate,test
555,Krintafel,TAFENOQUINE SUCCINATE,TAFENOQUINE SUCCINATE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
556,Kerendia,FINERENONE,FINERENONE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
557,ESBRIET,PIRFENIDONE,PIRFENIDONE,,CLINICAL PHARMACOLOGY,no,"no evidence that ESBRIET
prolonged the QTc interval",,test
558,LOKELMA,SODIUM ZIRCONIUM CYCLOSILICATE,SODIUM ZIRCONIUM CYCLOSILICATE,,no,no,,,train
559,Pomalyst,POMALIDOMIDE,POMALIDOMIDE,Heart Damage,bw,most,myocardial infarction,severe,train
560,Galafold,MIGALASTAT HYDROCHLORIDE,MIGALASTAT HYDROCHLORIDE,,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,,test
561,DYANAVEL XR; Dyanavel XR,AMPHETAMINE,AMPHETAMINE,Mixed,wp,most,myocardial infarction/Heart Rate Increases,severe,test
562,Tasmar,TOLCAPONE,Tolcapone,Mixed,ar,less,heart failure/tachycardia,severe,train
563,RETEVMO,SELPERCATINIB,selpercatinib,Mixed,wp,most,QT Interval Prolongation/Hypertension,moderate,test
564,XTAMPZA ER,OXYCODONE,OXYCODONE,Heart Damage,wp,less,hypotension ,mild,train
565,INLYTA,AXITINIB,AXITINIB,Heart Damage,wp,most,cardiac failure ,severe,train
566,Thiola EC,TIOPRONIN,TIOPRONIN,Heart Damage,ar,less,congestive heart failure,severe,train
567,SCEMBLIX,ASCIMINIB,ASCIMINIB HYDROCHLORIDE,Mixed,wp,most,"cardiac failure/QTc prolongation,",severe,train
568,Mekinist,TRAMETINIB,TRAMETINIB DIMETHYL SULFOXIDE,Heart Damage,wp,most, cardiac failure,severe,train
569,FIBRICOR,FENOFIBRIC ACID,Fenofibric Acid,,no,no,,,train
570,KISQALI,RIBOCICLIB,RIBOCICLIB SUCCINATE,Arrhythmia,wp,most, prolong the QT interval,severe,train
571,GOCOVRI,AMANTADINE,AMANTADINE,Heart Damage,wp,less,hypotension,mild,test
572,Aptiom,ESLICARBAZEPINE ACETATE,ESLICARBAZEPINE ACETATE,,sp,ambiguous,Multiorgan hypersensitivity:myocarditis,,test
573,Tafinlar,DABRAFENIB,DABRAFENIB MESYLATE,Heart Damage,wp,most,cardiomyopathy,severe,test
574,Osphena,OSPEMIFENE,OSPEMIFENE,Heart Damage,wp,most, myocardial infarction,severe,test
575,Enablex,DARIFENACIN,DARIFENACIN,Arrhythmia,ar,less,palpitations,mild,train
576,Trimethoprim,TRIMETHOPRIM,TRIMETHOPRIM,,no,no,,,train
577,BRUKINSA,ZANUBRUTINIB,ZANUBRUTINIB,Arrhythmia,wp,less,Atrial fibrillation,mild,test
578,UBRELVY,UBROGEPANT,UBROGEPANT,,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,,train
579,TRUSELTIQ,INFIGRATINIB,INFIGRATINIB,,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,,test
580,Nexavar,SORAFENIB,SORAFENIB,Mixed,wp,most,cardiac ischemia/infarction/QT Prolongation,severe,train
581,QINLOCK,RIPRETINIB,Ripretinib,Heart Damage,wp,most,cardiac failure,severe,test
582,Primsol,TRIMETHOPRIM HYDROCHLORIDE,TRIMETHOPRIM HYDROCHLORIDE,,no,no,,,test
583,Nerlynx,NERATINIB,NERATINIB MALEATE,,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,,train
584,XARELTO; Xarelto,RIVAROXABAN,rivaroxaban,,no,no,,,train
585,Afinitor; Afinitor Disperz,EVEROLIMUS,EVEROLIMUS,Mixed,ar,less,congestive cardiac failure /Tachycardia ,severe,test
586,Viramune,NEVIRAPINE,NEVIRAPINE,,no,no,,,train
587,VIRACEPT,NELFINAVIR MESYLATE,NELFINAVIR MESYLATE,Arrhythmia,ar,less,torsades de pointes,moderate,train
588,Iclusig,PONATINIB HYDROCHLORIDE,ponatinib hydrochloride,Mixed,bw,most,fatal myocardial infarction/cardiac arrhythmias,severe,test
589,Xenical,ORLISTAT,ORLISTAT,,no,no,,,test
590,HYCAMTIN,TOPOTECAN,TOPOTECAN HYDROCHLORIDE,,no,no,,,test
591,Xtandi,ENZALUTAMIDE,ENZALUTAMIDE,Heart Damage,wp,most,ischemic heart disease,severe,train
592,SUNOSI,SOLRIAMFETOL,SOLRIAMFETOL,Mixed,wp,less,Blood Pressure Heart Rate Increases,mild,train
593,ELMIRON,PENTOSAN POLYSULFATE SODIUM,PENTOSAN POLYSULFATE SODIUM,,no,no,,,train
594,PIFELTRO,DORAVIRINE,doravirine,,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,,train
595,Plaquenil,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,Mixed,wp,most,Cardiomyopathy/QT prolongation,severe,test
596,BRAFTOVI,ENCORAFENIB,ENCORAFENIB,Arrhythmia,wp,most,QTc interval prolongation ,moderate,test
597,ENJUVIA,"SYNTHETIC CONJUGATED ESTROGENS, B","ESTROGENS, CONJUGATED SYNTHETIC B",Heart Damage,bw,most,myocardial infarction,severe,train
598,Firdapse,AMIFAMPRIDINE PHOSPHATE,amifampridine phosphate,Heart Damage,ar,less,Hypertension,mild,test
599,Xermelo,TELOTRISTAT ETHYL,telotristat ethyl,,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,,test
600,FOTIVDA,TIVOZANIB,tivozanib hydrochloride,Heart Damage,wp,most,fatal Cardiac Failure,severe,train
601,BALVERSA,ERDAFITINIB,Erdafitinib,Heart Damage,ar,less,acute myocardial infarction.,severe,test
602,Orladeyo,BEROTRALSTAT HYDROCHLORIDE,Berotralstat hydrochloride,Arrhythmia,wp,less,QT Prolongation with Higher-Than-Recommended Dosages,moderate,train
603,FARXIGA,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,,train
604,Velphoro,SUCROFERRIC OXYHYDROXIDE,FERRIC OXYHYDROXIDE,,no,no,,,test
605,Macrilen,MACIMORELIN ACETATE,MACIMORELIN,Arrhythmia,wp,most,QTc interval prolongation ,moderate,train
606,BOSULIF,BOSUTINIB MONOHYDRATE,BOSUTINIB MONOHYDRATE,Heart Damage,wp,most,cardiac failure,severe,test
607,Rezurock,BELUMOSUDIL,BELUMOSUDIL,Heart Damage,ar,less,hypertension,mild,train
608,JAKAFI,RUXOLITINIB,RUXOLITINIB,Heart Damage,wp,most,"cardiovascular death/myocardial infarction,",severe,test
609,VERMOX,MEBENDAZOLE,mebendazole,,no,no,,,test
610,PARNATE,TRANYLCYPROMINE SULFATE,TRANYLCYPROMINE SULFATE,Heart Damage,wp,less,Hypertension,mild,train
611,WELIREG,BELZUTIFAN,BELZUTIFAN,Heart Damage,ar,less,Hypertension,mild,train
612,Trulance Immediate release,PLECANATIDE,Plecanatide,,no,no,,,train
613,Xyrem,SODIUM OXYBATE,SODIUM OXYBATE,,no,no,,,test
614,Qulipta,ATOGEPANT,ATOGEPANT,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,test
615,Gleostine,LOMUSTINE,LOMUSTINE,,no,no,,,train
616,Incruse Ellipta,UMECLIDINIUM,UMECLIDINIUM BROMIDE,Arrhythmia,ar,less,supraventricular tachycardia,moderate,train
617,Cefditoren Pivoxil,CEFDITOREN PIVOXIL,CEFDITOREN PIVOXIL,,no,no,,,train
618,Lysodren,MITOTANE,mitotane,,no,no,,,train
619,DIURIL,CHLOROTHIAZIDE,CHLOROTHIAZIDE,Heart Damage,ar,less,Hypotension,mild,train
620,CRIXIVAN,INDINAVIR SULFATE,INDINAVIR SULFATE,Heart Damage,ar,less,myocardial infarction,severe,test
621,EVRYSDI,RISDIPLAM,RISDIPLAM,,no,no,,,train
622,Reyvow,LASMIDITAN,lasmiditan,Mixed,ar,less,palpitations/increase blood pressure,mild,train
623,Horizant,GABAPENTIN ENACARBIL,gabapentin enacarbil,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,,test
624,Emcyt,ESTRAMUSTINE PHOSPHATE SODIUM,ESTRAMUSTINE PHOSPHATE SODIUM,Heart Damage,wp,most,myocardial infarction,severe,test
625,Nucynta ER,TAPENTADOL HYDROCHLORIDE,TAPENTADOL HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild,train
626,CAPLYTA,LUMATEPERONE,LUMATEPERONE,Heart Damage,wp,less,hypotension,mild,train
627,KOSELUGO,SELUMETINIB,SELUMETINIB,Heart Damage,wp,most,Cardiomyopathy,severe,train
628,TAZVERIK,TAZEMETOSTAT,tazemetostat hydrobromide,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,test
629,Mulpleta,LUSUTROMBOPAG,LUSUTROMBOPAG,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
630,Vascepa,ICOSAPENT ETHYL,ICOSAPENT ETHYL,Arrhythmia,wp,less,atrial fibrillation/atrial flutter,mild,test
631,Cotellic,COBIMETINIB,COBIMETINIB FUMARATE,Heart Damage,wp,most,Cardiomyopathy,severe,train
632,MOVANTIK,NALOXEGOL OXALATE,NALOXEGOL OXALATE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
633,Cedax,CEFTIBUTEN DIHYDRATE,Ceftibuten dihydrate,,no,no,,,test
634,COPIKTRA,DUVELISIB,DUVELISIB,,CLINICAL PHARMACOLOGY,no,QTc interval were not observed,,test
635,Verzenio,ABEMACICLIB,abemaciclib,,sp,ambiguous,cardiac failure(drug Combination ),severe,test
636,Lithium,LITHIUM,Lithium Citrate,Mixed,wp,most,myocarditis/prolonged QT interval,severe,train
637,INGREZZA,VALBENAZINE,VALBENAZINE TOSYLATE,Arrhythmia,wp,most,prolong the QT interval,severe,train
638,Xospata,GILTERITINIB,GILTERITINIB FUMARATE,Arrhythmia,wp,most,prolong the QT interval,severe,train
639,PONVORY,PONESIMOD,Ponesimod,Mixed,wp,less,Atrioventricular Conduction Delays/Increased Blood Pressure,mild,test
640,Orilissa,ELAGOLIX,ELAGOLIX SODIUM,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,test
641,ZOLINZA,VORINOSTAT,VORINOSTAT,Heart Damage,ar,less,myocardial infarction,severe,test
642,Varubi,ROLAPITANT,ROLAPITANT HYDROCHLORIDE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
643,IMPAVIDO,MILTEFOSINE,MILTEFOSINE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
644,Xalkori,CRIZOTINIB,CRIZOTINIB,Arrhythmia,wp,most,QT Interval Prolongation,moderate,train
645,Ayvakit,AVAPRITINIB,avapritinib,Heart Damage,ar,less,cardiac failure,severe,test
646,Vizimpro,DACOMITINIB,DACOMITINIB,,CLINICAL PHARMACOLOGY,no, no large effect on QTc,,train
647,IBSRELA,TENAPANOR HYDROCHLORIDE,TENAPANOR HYDROCHLORIDE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
648,Xofluza,BALOXAVIR MARBOXIL,BALOXAVIR MARBOXIL,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
649,Thalomid,THALIDOMIDE,THALIDOMIDE,Mixed,wp,most,myocardial infarction/Bradycardia,severe,train
650,MOTEGRITY,PRUCALOPRIDE,PRUCALOPRIDE SUCCINATE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
651,PROMACTA,ELTROMBOPAG OLAMINE,ELTROMBOPAG OLAMINE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,test
652,ERLEADA,APALUTAMIDE,Apalutamide,Heart Damage,wp,most,"ischemic cardiovascular
events",severe,test
653,Lithostat,ACETOHYDROXAMIC ACID,ACETOHYDROXAMIC ACID,Arrhythmia,ar,less,Palpitations,mild,train
654,Rinvoq,UPADACITINIB,upadacitinib,Heart Damage,bw,most,sudden cardiovascular death,severe,train
655,Sular,NISOLDIPINE,NISOLDIPINE,Mixed,ar,less,"congestive heart failure/supraventricular
tachycardia",severe,test
656,Mavenclad,CLADRIBINE,Cladribine,Heart Damage,wp,most,"life-threatening acute
 cardiac failure ",severe,train
657,EGATEN,TRICLABENDAZOLE,TRICLABENDAZOLE,Arrhythmia,wp,most,prolongation of the mean QTc interval,severe,train
658,Peganone,ETHOTOIN,ETHOTOIN,,no,no,,,test
659,NINLARO,IXAZOMIB,ixazomib citrate,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,test
660,Viberzi,ELUXADOLINE,ELUXADOLINE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,test
661,BAFIERTAM,MONOMETHYL FUMARATE,monomethyl fumarate,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
662,Zelnorm,TEGASEROD,tegaserod,,sp,ambiguous,patients has  increased risk of developing an adverse cardiovascular event,,train
663,ISENTRESS,ISENTRESS,RALTEGRAVIR POTASSIUM,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,,train
664,Ofev,NINTEDANIB,NINTEDANIB ESYLATE,Heart Damage,wp,most,Myocardial infarction ,severe,test
665,Prilosec,OMEPRAZOLE MAGNESIUM,OMEPRAZOLE MAGNESIUM,Mixed,ar,less,Chest pain or angina/ tachycardia,moderate,train
666,Gilotrif,AFATINIB,AFATINIB,,CLINICAL PHARMACOLOGY,no,No large changes in the mean QTc interval,,test
667,Rubraca,RUCAPARIB,rucaparib camsylate,Mixed,ar,less,ischemic cardiovascular events,severe,test
668,OXBRYTA,VOXELOTOR,Voxelotor,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,,train
669,ELIQUIS,APIXABAN,APIXABAN,Heart Damage,ar,less,hypotension,mild,train
