Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (Month/Day/Year),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,Query Link for Entire Search Output,Result Link for Entire Search Output,Export Date (YYYY/MM/DD) and Time for Entire Search Output
HUMAN PRESCRIPTION DRUG LABEL,KIT,INTRAVESICAL,NDA,022555,Cysview,HEXAMINOLEVULINATE HYDROCHLORIDE,2023/11/07,,2010,PHOTOCURE INC,2018/05/01-,10511-3001,D4F329SL1O,HEXAMINOLEVULINATE HYDROCHLORIDE,HEXAMINOLEVULINATE,G7H20TKI67,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/5aeed40d-6841-4adf-8940-f51d439fdfa3/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5aeed40d-6841-4adf-8940-f51d439fdfa3,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5aeed40d-6841-4adf-8940-f51d439fdfa3,5aeed40d-6841-4adf-8940-f51d439fdfa3,,,
HUMAN PRESCRIPTION DRUG LABEL,IMPLANT,SUBCUTANEOUS,NDA,022058,SUPPRELIN LA,HISTRELIN ACETATE,2022/04/30,Gonadotropin Releasing Hormone Receptor Agonist,1991,ENDO USA INC,2007/05/31-,67979-002,QMG7HLD1ZE,HISTRELIN ACETATE,HISTRELIN,H50H3S3W74,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/d8fb000e-3cc9-4803-b71d-2cc597661977/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d8fb000e-3cc9-4803-b71d-2cc597661977,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d8fb000e-3cc9-4803-b71d-2cc597661977,d8fb000e-3cc9-4803-b71d-2cc597661977,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,NDA,020899,Optison Perflutren Protein-Type A Microspheres,HUMAN ALBUMIN MICROSPHERES AND PERFLUTREN,2024/01/11,Contrast Agent for Ultrasound Imaging,1997,GE HEALTHCARE INC,2002/01/02-,0407-2707,CK0N3WH0SR; T8C6W1N6NW,HUMAN ALBUMIN MICROSPHERES; PERFLUTREN,HUMAN ALBUMIN MICROSPHERES; PERFLUTREN,CK0N3WH0SR; T8C6W1N6NW,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/46bcf276-d423-408a-a410-f11383406a94/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=46bcf276-d423-408a-a410-f11383406a94,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=46bcf276-d423-408a-a410-f11383406a94,46bcf276-d423-408a-a410-f11383406a94,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,021256,ChiRhoStim; ChiRhoStim 40,HUMAN SECRETIN,2024/04/02,,2004,CHIRHOCLIN INC,2004/08/01-; 2007/06/01-,67066-005; 67066-007,A0426J905J,SECRETIN HUMAN,SECRETIN HUMAN,A0426J905J,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b4dfe70f-0a86-4488-9ba1-dcd8f86cbfcd/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b4dfe70f-0a86-4488-9ba1-dcd8f86cbfcd,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b4dfe70f-0a86-4488-9ba1-dcd8f86cbfcd,b4dfe70f-0a86-4488-9ba1-dcd8f86cbfcd,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,020727,BiDil,HYDRALAZINE HYDROCHLORIDE AND ISOSORBIDE DINITRATE,2022/07/19,Arteriolar Vasodilator; Nitrate Vasodilator,2005,AZURITY,2012/12/05-,24338-010,FD171B778Y; IA7306519N,Hydralazine hydrochloride; Isosorbide dinitrate,Hydralazine; Isosorbide dinitrate,26NAK24LS8; IA7306519N,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/e1e63cd5-d1e4-4af5-bad5-1ad41ea46b00/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e1e63cd5-d1e4-4af5-bad5-1ad41ea46b00,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e1e63cd5-d1e4-4af5-bad5-1ad41ea46b00,e1e63cd5-d1e4-4af5-bad5-1ad41ea46b00,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,NDA,206627,Hysingla ER,HYDROCODONE BITARTRATE,2023/12/18,Opioid Agonist,1943,PURDUE PHARMA LP,2015/01/15-,59011-271; 59011-272; 59011-273; 59011-274; 59011-275; 59011-276; 59011-277,NO70W886KK,HYDROCODONE BITARTRATE,HYDROCODONE,6YKS4Y3WQ7,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b7d23ac2-e776-9f62-3290-c64c2d6eb353/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b7d23ac2-e776-9f62-3290-c64c2d6eb353,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b7d23ac2-e776-9f62-3290-c64c2d6eb353,b7d23ac2-e776-9f62-3290-c64c2d6eb353,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,202880,Zohydro,HYDROCODONE BITARTRATE,2015/02/25,Opioid Agonist,1943,ZOGENIX INC,2013/10/25-,43376-310; 43376-315; 43376-320; 43376-330; 43376-340; 43376-350,NO70W886KK,HYDROCODONE BITARTRATE,HYDROCODONE,6YKS4Y3WQ7,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/6ccfbd98-7750-4955-a654-ec104fb666f9/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6ccfbd98-7750-4955-a654-ec104fb666f9,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=6ccfbd98-7750-4955-a654-ec104fb666f9,6ccfbd98-7750-4955-a654-ec104fb666f9,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,202880,Zohydro,HYDROCODONE BITARTRATE,2014/08/26,Opioid Agonist,1943,ZOGENIX INC,2013/10/25-,43376-210; 43376-215; 43376-220; 43376-230; 43376-240; 43376-250,NO70W886KK,HYDROCODONE BITARTRATE,HYDROCODONE,6YKS4Y3WQ7,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/cf68f7fe-30a9-4f1a-a3a4-6352dc436bbe/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cf68f7fe-30a9-4f1a-a3a4-6352dc436bbe,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cf68f7fe-30a9-4f1a-a3a4-6352dc436bbe,cf68f7fe-30a9-4f1a-a3a4-6352dc436bbe,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,ORAL,NDA,205474,OBREDON,HYDROCODONE BITARTRATE AND GUAIFENESIN,2023/12/15,Expectorant; Opioid Agonist,2014,SOVEREIGN PHARMACEUTICALS LLC,2014/12/30-,58716-433,495W7451VQ; NO70W886KK,GUAIFENESIN; HYDROCODONE BITARTRATE,GUAIFENESIN; HYDROCODONE,495W7451VQ; 6YKS4Y3WQ7,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/f73fdec5-d330-4d8c-894b-d0bcf5490624/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f73fdec5-d330-4d8c-894b-d0bcf5490624,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f73fdec5-d330-4d8c-894b-d0bcf5490624,f73fdec5-d330-4d8c-894b-d0bcf5490624,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION; TABLET,ORAL,NDA,005213,Hycodan,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,2021/12/29,Opioid Agonist,1943,GENUS LIFESCIENCES INC,2019/06/10-; 2021/11/01-,64950-205; 64950-342,68JRS2HC1C; NO70W886KK,homatropine methylbromide; hydrocodone bitartrate,hydrocodone; methylhomatropine,6YKS4Y3WQ7; P97OGJ7L1L,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/901d4115-f71a-4681-bd0e-c9b691151b78/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=901d4115-f71a-4681-bd0e-c9b691151b78,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=901d4115-f71a-4681-bd0e-c9b691151b78,901d4115-f71a-4681-bd0e-c9b691151b78,,,
HUMAN PRESCRIPTION DRUG LABEL,"SUSPENSION, EXTENDED RELEASE",ORAL,NDA,019111,Tussionex Pennkinetic,HYDROCODONE POLISTIREX AND CHLORPHENIRAMINE POLISTIREX,2017/01/20,Histamine-1 Receptor Antagonist; Opioid Agonist,,UNITHER MANUFACTURING LLC,1987/12/31-,53014-548,3U6IO1965U; 6YKS4Y3WQ7,chlorpheniramine; hydrocodone,chlorpheniramine; hydrocodone,3U6IO1965U; 6YKS4Y3WQ7,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/af2caf33-e587-4d80-9523-44e1b565aae2/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=af2caf33-e587-4d80-9523-44e1b565aae2,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=af2caf33-e587-4d80-9523-44e1b565aae2,af2caf33-e587-4d80-9523-44e1b565aae2,,,
HUMAN PRESCRIPTION DRUG LABEL,GRANULE,ORAL,NDA,213876,ALKINDI SPRINKLE; Alkindi Sprinkle,HYDROCORTISONE,2024/04/15,Corticosteroid,1952,ETON PHARMACEUTICALS INC,2020/09/29-; 2023/11/06-,71863-109; 71863-110; 71863-111; 71863-112; 71863-117; 71863-118,WI4X0X7BPJ,HYDROCORTISONE,HYDROCORTISONE,WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/26c13a5f-7119-4c6a-bf10-fda4e07d7682/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=26c13a5f-7119-4c6a-bf10-fda4e07d7682,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=26c13a5f-7119-4c6a-bf10-fda4e07d7682,26c13a5f-7119-4c6a-bf10-fda4e07d7682,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,008697,CORTEF,HYDROCORTISONE,2024/01/30,Corticosteroid,,PHARMACIA AND UPJOHN COMPANY LLC,1952/12/15-,0009-0012; 0009-0031; 0009-0044,WI4X0X7BPJ,HYDROCORTISONE,HYDROCORTISONE,WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/9ce19944-dd88-4a7b-84ca-b07f4ec23bad/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9ce19944-dd88-4a7b-84ca-b07f4ec23bad,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9ce19944-dd88-4a7b-84ca-b07f4ec23bad,9ce19944-dd88-4a7b-84ca-b07f4ec23bad,,,
HUMAN PRESCRIPTION DRUG LABEL,ENEMA,RECTAL,NDA,016199,Cortenema,HYDROCORTISONE,2022/04/27,Corticosteroid,,ANI PHARMACEUTICALS INC,2012/08/10-,62559-111,WI4X0X7BPJ,HYDROCORTISONE,HYDROCORTISONE,WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/a307448a-ccc4-41a8-977a-11f28f0bded9/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a307448a-ccc4-41a8-977a-11f28f0bded9,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a307448a-ccc4-41a8-977a-11f28f0bded9,a307448a-ccc4-41a8-977a-11f28f0bded9,,,
HUMAN PRESCRIPTION DRUG LABEL,"AEROSOL, FOAM",TOPICAL,NDA,017351,Cortifoam,HYDROCORTISONE ACETATE,2024/05/15,Corticosteroid,,MEDA PHARMACEUTICALS INC,2015/06/15-,0037-6830,3X7931PO74,HYDROCORTISONE ACETATE,HYDROCORTISONE,WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/0093b694-9fcb-46ae-b1ab-7d0fa204c6c8/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0093b694-9fcb-46ae-b1ab-7d0fa204c6c8,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0093b694-9fcb-46ae-b1ab-7d0fa204c6c8,0093b694-9fcb-46ae-b1ab-7d0fa204c6c8,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,AURICULAR (OTIC),NDA,012770,hydrocortisone and acetic acid,HYDROCORTISONE AND ACETIC ACID,2022/10/13,Corticosteroid,,AKORN OPERATING COMPANY LLC,2009/06/04-,50383-901,Q40Q9N063P; WI4X0X7BPJ,ACETIC ACID; HYDROCORTISONE,ACETIC ACID; HYDROCORTISONE,Q40Q9N063P; WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/ffd1edc1-2f40-4b0a-a53a-9fb53b8d3184/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ffd1edc1-2f40-4b0a-a53a-9fb53b8d3184,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ffd1edc1-2f40-4b0a-a53a-9fb53b8d3184,ffd1edc1-2f40-4b0a-a53a-9fb53b8d3184,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,AURICULAR (OTIC),NDA,012770,hydrocortisone and acetic acid,HYDROCORTISONE AND ACETIC ACID OTIC,2024/01/16,Corticosteroid,,SAPTALIS PHARMACEUTICALS LLC,2024/01/16-,71656-064,Q40Q9N063P; WI4X0X7BPJ,ACETIC ACID; HYDROCORTISONE,ACETIC ACID; HYDROCORTISONE,Q40Q9N063P; WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/d9a3597c-2c9d-46cc-818b-8bb3aa5c4f32/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d9a3597c-2c9d-46cc-818b-8bb3aa5c4f32,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d9a3597c-2c9d-46cc-818b-8bb3aa5c4f32,d9a3597c-2c9d-46cc-818b-8bb3aa5c4f32,,,
HUMAN PRESCRIPTION DRUG LABEL,LOTION,TOPICAL,NDA,022076,Locoid,HYDROCORTISONE BUTYRATE,2023/10/30,Corticosteroid,1982,BAUSCH HEALTH US LLC,2013/07/03-,16781-392,05RMF7YPWN,HYDROCORTISONE BUTYRATE,HYDROCORTISONE,WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/a147236d-be90-47cf-9d88-7ea14d3a8158/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a147236d-be90-47cf-9d88-7ea14d3a8158,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a147236d-be90-47cf-9d88-7ea14d3a8158,a147236d-be90-47cf-9d88-7ea14d3a8158,,,
HUMAN PRESCRIPTION DRUG LABEL,CREAM,TOPICAL,NDA,020769,Locoid Lipocream,HYDROCORTISONE BUTYRATE,2021/03/31,Corticosteroid,1982,BAUSCH HEALTH US LLC,2013/07/03-,16781-384,05RMF7YPWN,HYDROCORTISONE BUTYRATE,HYDROCORTISONE,WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/f950988c-0bcc-4d07-bdc2-2426959a85a4/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f950988c-0bcc-4d07-bdc2-2426959a85a4,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f950988c-0bcc-4d07-bdc2-2426959a85a4,f950988c-0bcc-4d07-bdc2-2426959a85a4,,,
HUMAN PRESCRIPTION DRUG LABEL,OINTMENT,TOPICAL,NDA,018652,Hydrocortisone Butyrate,HYDROCORTISONE BUTYRATE,2020/12/31,Corticosteroid,,OCEANSIDE PHARMACEUTICALS,2009/09/01-,68682-271,05RMF7YPWN,HYDROCORTISONE BUTYRATE,HYDROCORTISONE,WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/7c3f8417-7861-41e3-876f-9b82aff7d1a0/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7c3f8417-7861-41e3-876f-9b82aff7d1a0,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7c3f8417-7861-41e3-876f-9b82aff7d1a0,7c3f8417-7861-41e3-876f-9b82aff7d1a0,,,
HUMAN PRESCRIPTION DRUG LABEL,CREAM,TOPICAL,NDA,020453,PANDEL,HYDROCORTISONE PROBUTATE,2022/09/30,Corticosteroid,1997,ANI PHARMACEUTICALS INC,2022/09/30-,62559-325,O6550D6K3A,HYDROCORTISONE PROBUTATE,HYDROCORTISONE,WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/ed5acba1-3634-45d6-ac15-44f500e84885/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ed5acba1-3634-45d6-ac15-44f500e84885,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ed5acba1-3634-45d6-ac15-44f500e84885,ed5acba1-3634-45d6-ac15-44f500e84885,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,NDA,009866,Solu-Cortef,HYDROCORTISONE SODIUM SUCCINATE,2024/01/30,Corticosteroid,,PHARMACIA AND UPJOHN COMPANY LLC,1955/04/27-,0009-0005; 0009-0011; 0009-0013; 0009-0016; 0009-0825,50LQB69S1Z,HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE,WI4X0X7BPJ,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/65eefd58-b166-4d71-ade6-45c8fdf86922/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=65eefd58-b166-4d71-ade6-45c8fdf86922,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=65eefd58-b166-4d71-ade6-45c8fdf86922,65eefd58-b166-4d71-ade6-45c8fdf86922,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,TOPICAL,NDA,209305,Eskata,HYDROGEN PEROXIDE,2019/03/27,,2017,ACLARIS THERAPEUTICS INC,2017/12/14-,71180-001; 71180-002,BBX060AN9V,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE,BBX060AN9V,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/52f4cc49-6553-426f-9778-0bd34e31b942/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=52f4cc49-6553-426f-9778-0bd34e31b942,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=52f4cc49-6553-426f-9778-0bd34e31b942,52f4cc49-6553-426f-9778-0bd34e31b942,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION; TABLET,ORAL,NDA,019891;019892,Dilaudid,HYDROMORPHONE HYDROCHLORIDE,2024/01/08,Opioid Agonist,1984,RHODES PHARMACEUTICALS L P,2017/05/15-,42858-122; 42858-234; 42858-338; 42858-416,L960UP2KRW,hydromorphone hydrochloride,hydromorphone,Q812464R06,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/d6b40e39-a57e-402c-b4f6-7041e832f837/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d6b40e39-a57e-402c-b4f6-7041e832f837,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d6b40e39-a57e-402c-b4f6-7041e832f837,d6b40e39-a57e-402c-b4f6-7041e832f837,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,NDA,019034,Dilaudid,HYDROMORPHONE HYDROCHLORIDE,2024/01/01,Opioid Agonist,1984,FRESENIUS KABI USA LLC,2016/12/16-; 2018/12/04-,76045-009; 76045-010; 76045-121,L960UP2KRW,HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE,Q812464R06,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/9eebd88a-5632-460f-b7b6-26c8a180540d/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9eebd88a-5632-460f-b7b6-26c8a180540d,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9eebd88a-5632-460f-b7b6-26c8a180540d,9eebd88a-5632-460f-b7b6-26c8a180540d,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,NDA,019034,Hydromorphone Hydrochloride,HYDROMORPHONE HYDROCHLORIDE,2020/01/08,Opioid Agonist,1984,FRESENIUS KABI USA LLC,2017/12/15-,63323-851; 63323-852; 63323-853; 63323-854,L960UP2KRW,HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE,Q812464R06,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/e034eb96-03e0-46e1-8b92-5e1f94555e7b/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e034eb96-03e0-46e1-8b92-5e1f94555e7b,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e034eb96-03e0-46e1-8b92-5e1f94555e7b,e034eb96-03e0-46e1-8b92-5e1f94555e7b,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,022041,Cyanokit,HYDROXOCOBALAMIN,2023/04/27,Antidote,1975,BTG INTERNATIONAL INC,2021/12/15-,50633-310,Q40X8H422O,Hydroxocobalamin,Hydroxocobalamin,Q40X8H422O,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/d56fcc8d-bd64-46ab-b0c0-2124bd745a6b/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d56fcc8d-bd64-46ab-b0c0-2124bd745a6b,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d56fcc8d-bd64-46ab-b0c0-2124bd745a6b,d56fcc8d-bd64-46ab-b0c0-2124bd745a6b,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,022041,Cyanokit,HYDROXOCOBALAMIN,2021/10/15,Antidote,1975,MERIDIAN MEDICAL TECHNOLOGIES INC,completed:2011/10/01-2024/05/24,11704-370,Q40X8H422O,Hydroxocobalamin,Hydroxocobalamin,Q40X8H422O,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/4368656c-6c2b-474c-6144-4f532d424646/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4368656c-6c2b-474c-6144-4f532d424646,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4368656c-6c2b-474c-6144-4f532d424646,4368656c-6c2b-474c-6144-4f532d424646,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,OPHTHALMIC,NDA,019261,Paremyd,"HYDROXYAMPHETAMINE HYDROBROMIDE, TROPICAMIDE",2022/09/14,Adrenergic Receptor Agonist; Anticholinergic,,AKORN,1992/01/30-,17478-704,59IG47SZ0E; N0A3Z5XTC6,Hydroxyamphetamine hydrobromide; Tropicamide,Hydroxyamphetamine; Tropicamide,FQR280JW2N; N0A3Z5XTC6,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/da8a8a19-ac1b-4160-aac4-c4c57598eb5d/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=da8a8a19-ac1b-4160-aac4-c4c57598eb5d,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=da8a8a19-ac1b-4160-aac4-c4c57598eb5d,da8a8a19-ac1b-4160-aac4-c4c57598eb5d,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,214581,SOVUNA,HYDROXYCHLOROQUINE SULFATE,2024/04/12,Antimalarial; Antirheumatic Agent,1955,ANI PHARMACEUTICALS INC,2023/09/15-,70954-804; 70954-805,8Q2869CNVH,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE,4QWG6N8QKH,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/dd441154-b196-4d4c-bc56-2e37f345ef8d/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dd441154-b196-4d4c-bc56-2e37f345ef8d,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=dd441154-b196-4d4c-bc56-2e37f345ef8d,dd441154-b196-4d4c-bc56-2e37f345ef8d,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,009768,Plaquenil,HYDROXYCHLOROQUINE SULFATE,2023/12/20,Antimalarial; Antirheumatic Agent,1955,CONCORDIA PHARMACEUTICALS INC,2013/06/28-,59212-562,8Q2869CNVH,hydroxychloroquine sulfate,hydroxychloroquine,4QWG6N8QKH,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/34496b43-05a2-45fb-a769-52b12e099341/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=34496b43-05a2-45fb-a769-52b12e099341,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=34496b43-05a2-45fb-a769-52b12e099341,34496b43-05a2-45fb-a769-52b12e099341,,,
HUMAN PRESCRIPTION DRUG LABEL,INSERT,OPHTHALMIC,NDA,018771,Lacrisert,HYDROXYPROPYL CELLULOSE,2019/10/01,Demulcent,,BAUSCH AND LOMB INCORPORATED,1981/06/01-,24208-800,RFW2ET671P,HYDROXYPROPYL CELLULOSE (1600000 WAMW),HYDROXYPROPYL CELLULOSE (1600000 WAMW),RFW2ET671P,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/cc7a6a52-0b77-4df7-8403-dd21c1334f6c/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cc7a6a52-0b77-4df7-8403-dd21c1334f6c,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cc7a6a52-0b77-4df7-8403-dd21c1334f6c,cc7a6a52-0b77-4df7-8403-dd21c1334f6c,,,
